기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
시큐레터,2023.08.08,"9,200~10,600","12,000","10,671","1,544.73:1",3.14%,대신증권,418250
스마트레이더시스템,2023.08.07,"5,800~6,800","8,000","12,876","1,813.42:1",6.98%,대신증권,424960
넥스틸,2023.08.02,"11,500~12,500","11,500","80,500",235.56:1,0.60%,하나증권,092790
빅토리콘텐츠(구.빅텐츠),2023.07.28,"21,000~23,000","23,000","9,832",731.17,4.19%,NH투자증권,210120
큐리옥스바이오시스템즈,2023.07.27,"13,000~16,000","13,000","18,200",191.61:1,2.63%,키움증권,445680
SK증권스팩10호,2023.07.26,"2,000~2,000","2,000","6,000",1205.00:1,0.66%,SK증권,457940
코츠테크놀로지,2023.07.26,"10,000~11,500","13,000","10,000","1,836.61:1",17.59%,"한국투자증권,하이투자증권",448710
하나스팩28호,2023.07.25,"2,000~2,000","2,000","13,000","1,291.86:1",-,하나증권,454750
KB스팩26호,2023.07.24,"2,000~2,000","2,000","10,000","1,302.86:1",0.76%,KB증권,458320
파두,2023.07.24,"26,000~31,000","31,000","162,500",362.90:1,21.87%,"NH투자증권,한국투자증권,한화증권,현대차증권,유진투자증권,KB증권",440110
엠아이큐브솔루션,2023.07.20,"8,500~10,000","12,000","10,285","1,888.91:1",29.69%,한국투자증권,373170
시지트로닉스,2023.07.18,"18,000~20,000","25,000","22,500","1,703.85:1",5.62%,유안타증권,429270
유안타스팩14호,2023.07.12,"2,000~2,000","2,000","8,000","1,248.32:1",1.20%,유안타증권,450940
에이엘티,2023.07.11,"16,700~20,500","25,000","15,030","1,835.71:1",16.07%,미래에셋증권,172670
파로스아이바이오,2023.07.10,"14,000~18,000","14,000","19,600",303.31:1,1.32%,한국투자증권,388870
버넥트,2023.07.10,"11,500~13,600","16,000","30,720","1,520.08:1",8.63%,대신증권,438700
뷰티스킨,2023.07.10,"21,000~24,000","26,000","11,440",1819.7 :1,10.93%,DB금융투자,406820
SK증권스팩9호,2023.07.06,"2,000~2,000","2,000","8,000","1,002.51:1",3.54%,SK증권,455910
센서뷰,2023.07.03,"2,900~3,600","4,500","11,310","1,673.33:1",7.41%,삼성증권,321370
와이랩,2023.07.03,"7,000~8,000","9,000","21,000",1821.64:1,14.72%,한국투자증권,432430
필에너지,2023.06.29,"26,300~30,000","34,000","95,625",1811.55:1,59.23%,"미래에셋증권,삼성증권",378340
디비금융스팩11호,2023.06.27,"2,000~2,000","2,000","10,000",614.07,7.35%,DB금융투자,456440
이노시뮬레이션,2023.06.21,"13,000~15,000","15,000","11,700","1,869.47:1",5.98%,하나증권,274400
교보스팩14호,2023.06.19,"2,000~2,000","2,000","7,700",530.34:1,-,교보증권,456490
오픈놀,2023.06.14,"11,000~13,500","10,000","16,500",510.36:1,0.58%,하나증권,440320
시큐센,2023.06.14,"2,000~2,400","3,000","3,896",1800.86:1,12.47%,신한투자증권,232830
알멕,2023.06.14,"40,000~45,000","50,000","40,000","1,697.23:1",51.12%,NH투자증권,354320
하나스팩29호,2023.06.12,"2,000~2,000","2,000","9,000",512.17:1,-,하나증권,454640
KB스팩25호,2023.06.08,"2,000~2,000","2,000","8,000",459.10:1,8.05%,케이비증권,455250
하이스팩8호,2023.06.07,"2,000~2,000","2,000","8,500",413.20:1,-,하이투자증권,450050
NH스팩29호,2023.06.07,"2,000~2,000","2,000","25,500",70.13:1,-,NH투자증권,451700
프로테옴텍,2023.05.31,"5,400~6,600","4,500","10,800",94.10:1,21.25%,키움증권,303360
큐라티스,2023.05.30,"6,500~8,000","4,000","22,750",52.89:1,-,"대신증권,신영증권",348080
마녀공장,2023.05.22,"12,000~14,000","16,000","24,000","1,800.47:1",38.57%,"한국투자증권,유진투자증권",439090
나라셀라,2023.05.16,"20,000~24,000","20,000","29,000",178.47:1,1.19%,신영증권,405920
진영(구.진영엘디엠),2023.05.16,"3,600~4,200","5,000","15,300","1,595.70:1",9.17%,하이투자증권,285800
기가비스,2023.05.09,"34,400~39,700","43,000","76,308","1,669.60:1",49.52%,삼성증권,420770
모니터랩,2023.05.03,"7,500~9,800","9,800","15,000","1,715.41:1",6.06%,미래에셋증권,434480
씨유박스,2023.05.03,"17,200~23,200","15,000","25,800",86.44:1,3.69%,"신한투자증권,SK증권,,신영증권",340810
키움스팩8호,2023.05.02,"2,000~2,000","2,000","10,000",21.25:1,-,키움증권,446840
트루엔,2023.04.27,"10,000~12,000","12,000","25,000","1,688.87:1",8.24%,미래에셋증권,417790
에스바이오메딕스,2023.04.17,"16,000~18,000","18,000","12,000",854.29:1,1.94%,미래에셋증권,304360
토마토시스템,2023.04.10,"18,200~22,200","18,200","15,652",363.22:1,3.85%,교보증권,393210
마이크로투나노,2023.04.10,"13,500~15,500","15,500","13,500","1,716.98:1",10.83%,한국투자증권,424980
IBKS스팩22호,2023.03.22,"2,000~2,000","2,000","8,000",334.37:1,-,IBK투자증권,448760
미래에셋비전스팩3호,2023.03.21,"2,000~2,000","2,000","9,000",168.97:1,1.77%,미래에셋증권,448830
삼성FN리츠(유가),2023.03.20,"5,000~5,000","5,000","118,900",24.88,8.03%,삼성증권 한국투자증권 NH투자증권 KB증권,448730
하나스팩27호,2023.03.20,"2,000~2,000","2,000","10,000",37.12:1,-,하나증권,448370
지아이이노베이션,2023.03.15,"16,000~21,000","13,000","32,000",26.70:1,0.23%,"NH투자증권,하나증권,삼성증권",358570
엘비인베스트먼트,2023.03.13,"4,400~5,100","5,100","20,319","1,298.41:1",2.84%,미래에셋증권,309960
한화위탁관리부동산투자회사,2023.03.06,"5,000~5,000","5,000","116,000",7.2:1,55.78%,"한국투자증권,한화투자증권,SK증권",451800
유안타스팩12호,2023.03.02,"2,000~2,000","2,000","9,000",118.23:1,2.56%,유안타증권,446150
미래에셋드림스팩1호,2023.02.27,"10,000~10,000","10,000","70,000",63.11:1,1.58%,미래에셋증권,442900
금양그린파워,2023.02.23,"6,700~8,000","10,000","20,149","1,613.16:1",18.19%,삼성증권,282720
NH스팩28호,2023.02.20,"2,000~2,000","2,000","6,800",687.65 :1,6.40%,NH투자증권,450410
하나스팩26호,2023.02.16,"2,000~2,000","2,000","11,000",656.25:1,-,하나증권,446750
자람테크놀로지,2023.02.15,"16,000~20,000","22,000","14,880","1,702.43:1",11.42%,신영증권,389020
나노팀,2023.02.14,"11,500~13,000","13,000","23,575","1,723.21:1",25.64%,한국투자증권,417010
삼성스팩8호,2023.02.14,"10,000~10,000","10,000","40,000",992.31:1,4.33%,삼성증권,448740
유안타스팩13호,2023.02.13,"2,000~2,000","2,000","17,000",249.34:1,14.03%,유안타증권,449020
바이오인프라,2023.02.13,"18,000~21,000","21,000","11,700","1,594.95:1",-,DB금융투자,199730
미래에셋비전스팩2호,2023.02.07,"2,000~2,000","2,000","9,300",525.89:1,2.47%,미래에셋증권,446190
이노진,2023.02.06,"2,500~3,000","3,000","6,500",1603.33:1,6.36%,IBK투자증권,344860
샌즈랩,2023.02.01,"8,500~10,500","10,500","31,450","1,325.79:1",1.41%,키움증권,411080
제이오,2023.02.01,"10,000~13,000","13,000","40,000",352.61:1,4.33%,한국투자증권,418550
꿈비,2023.01.26,"4,000~4,500","5,000","8,000","1,547.13:1",12.24%,키움증권,407400
삼기이브이,2023.01.17,"13,800~16,500","11,000","49,018",37.51:1,0.45%,대신증권,419050
스튜디오미르,2023.01.16,"15,300~19,500","19,500","15,300","1,701.62:1",16.45%,미래에셋증권,408900
오브젠,2023.01.10,"18,000~24,000","18,000","13,967",98.49:1,2.22%,한국투자증권,417860
미래반도체,2023.01.10,"5,300~6,000","6,000","19,080",1576.56:1,3.95%,신한투자증권,254490
한주라이트메탈(구.한주금속),2023.01.04,"2,700~3,100","3,100","17,550",998.90:1,3.90%,"미래에셋증권, 현대차증권, 유진투자증권",198940
티이엠씨,2023.01.04,"32,000~38,000","28,000","70,400",31.33:1,0.42%,한화투자증권,425040
신영스팩9호,2022.12.12,"2,000~2,000","2,000","10,300",10.09:1,9.90%,신영증권,445970
바이오노트(유가),2022.12.08,"18,000~22,000","9,000","234,000",3.29:1,2.77%,NH투자증권,377740
비엔케이스팩1호,2022.12.05,"2,000~2,000","2,000","8,000",2.108:1,-,BNK투자증권,445360
IBKS스팩21호,2022.12.01,"2,000~2,000","2,000","8,000",14.73:1,-,IBK투자증권,442770
NH스팩27호,2022.11.30,"2,000~2,000","2,000","13,000",4.01:1,0.76%,NH투자증권,440820
대신밸런스스팩14호,2022.11.21,"2,000~2,000","2,000","11,000",37.55:1,7.98%,대신증권,442310
에스에이엠지엔터테인먼트,2022.11.17,"21,600~26,700","17,000","37,800",44.73:1,0.05%,NH투자증권,419530
유진스팩9호,2022.11.17,"2,000~2,000","2,000","6,500",112.30:1,2.67%,유진투자증권,442130
NH스팩26호,2022.11.15,"2,000~2,000","2,000","15,000",101.35:1,4.93%,NH투자증권,439410
대신밸런스스팩13호,2022.11.14,"2,000~2,000","2,000","10,000",173.27:1,15.00%,대신증권,438220
펨트론,2022.11.08,"10,000~11,000","8,000","11,000",129.06:1,11.41%,하나증권,168360
인벤티지랩,2022.11.08,"19,000~26,000","12,000","24,700",14.37:1,-,한국투자증권,389470
엔젯,2022.11.03,"12,000~15,200","10,000","25,200",42.15:1,6.00%,미래에셋증권,419080
티에프이,2022.11.03,"9,000~10,500","10,500","24,300","1,295.18:1",5.30%,IBK투자증권,425420
유비온,2022.11.02,"1,800~2,000","2,000","4,968",736.72:1,1.11%,미래에셋증권,084440
티쓰리엔터테인먼트,2022.11.01,"1,500~1,700","1,700","25,500","1,744.08:1",4.03%,미래에셋증권,204610
윤성에프앤씨,2022.10.26,"53,000~62,000","49,000","105,722",67.49:1,0.14%,미래에셋증권,372170
디티앤씨알오,2022.10.26,"22,000~25,000","17,000","30,800",74.53:1,-,키움증권,383930
뉴로메카,2022.10.20,"14,000~16,900","16,900","21,000","1,652.13:1",7.60%,대신증권,348340
제이아이테크,2022.10.20,"13,000~16,000","16,000","22,475",616.71:1,0.55%,미래에셋증권,417500
교보스팩13호,2022.10.19,"2,000~2,000","2,000","7,600",936.70:1,-,교보증권,440790
NH스팩25호,2022.10.18,"2,000~2,000","2,000","5,000",,-,NH투자증권,438580
큐알티,2022.10.18,"51,400~62,900","44,000","50,911",86.97,0.21%,미래에셋증권,405100
KB스팩23호,2022.10.18,"2,000~2,000","2,000","12,000","1,112.3:1",17.41%,KB증권,440200
IBKS스팩20호,2022.10.13,"2,000~2,000","2,000","8,000","1,116.94:1",-,IBK투자증권,439730
저스템,2022.10.13,"9,500~11,500","10,500","16,340",283.4:1,13.76%,미래에셋증권,417840
산돌,2022.10.12,"16,000~18,800","18,800","23,840",462.19:1,10.40%,KB증권,419120
삼성스팩7호,2022.10.11,"10,000~10,000","10,000","30,000","1,150.94:1",28.47%,삼성증권,439250
플라즈맵,2022.10.05,"9,000~11,000","7,000","15,939",39.78:1,1.91%,미래에셋증권,405000
한국스팩11호,2022.10.04,"2,000~2,000","2,000","10,000","1,194.35:1",20.26%,한국투자증권,436610
하나금융스팩25호,2022.10.04,"10,000~10,000","10,000","40,000",831.53:1,-,하나증권,435620
핀텔,2022.10.04,"7,500~8,900","8,900","15,000",558.92:1,8.74%,대신증권,291810
NH스팩24호,2022.10.04,"2,000~2,000","2,000","8,600",,-,NH투자증권,437780
샤페론,2022.09.29,"8,200~10,200","5,000","22,525",26:1,5.47%,NH투자증권,378800
에스비비테크,2022.09.28,"10,100~12,400","12,400","18,180","1,644.01:1",32.54%,미래에셋증권,389500
오에스피,2022.09.27,"6,300~8,400","8,400","12,952","1,582.84:1",4.66%,대신증권,368970
탑머티리얼,2022.09.27,"27,000~30,000","30,000","54,000",451.49:1,30.96%,한국투자증권,360070
이노룰스,2022.09.22,"11,000~12,500","12,500","12,702","1,495.69:1",6.02%,NH투자증권,296640
SK증권스팩8호,2022.09.20,"2,000~2,000","2,000","7,000","1,067.00:1",25.31%,SK증권,435870
모델솔루션,2022.09.19,"24,000~27,000","27,000","24,000","1,725.78:1",8.12%,KB증권,417970
유안타스팩10호,2022.09.16,"2,000~2,000","2,000","11,000","1,123.02:1",-,유안타증권,435380
선바이오,2022.09.16,"14,000~16,000","11,000","8,624",31.93:1,4.18%,하나증권,067370
알피바이오,2022.09.15,"10,000~13,000","13,000","12,000","1,556.04:1",11.12%,한국투자증권,314140
더블유씨피,2022.09.14,"80,000~100,000","60,000","720,000",33.28:1,4.24%,"KB증권,신한금융투자,삼성증권",393890
한화플러스스팩3호,2022.09.14,"2,000~2,000","2,000","10,000",,-,한화투자증권,430460
하나금융스팩24호,2022.09.13,"2,000~2,000","2,000","14,000",,-,하나증권,430230
오픈엣지테크놀로지,2022.09.07,"15,000~18,000","10,000","33,850",44.25:1,15.85%,삼성증권,394280
KB스타리츠(유가),2022.09.06,"5,000~5,000","5,000","153,500",,-,KB증권,432320
KB스팩22호,2022.09.05,"2,000~2,000","2,000","10,000",,-,KB증권,436530
하나금융스팩23호,2022.08.26,"2,000~2,000","2,000","9,000",,-,하나증권,427950
키움스팩7호,2022.08.23,"2,000~2,000","2,000","8,000",,-,키움증권,433530
신영스팩8호,2022.08.10,"2,000~2,000","2,000","12,500",,-,신영증권,430220
IBKS스팩19호,2022.08.09,"2,000~2,000","2,000","9,500",,-,IBK투자증권,426550
대성하이텍,2022.08.04,"7,400~9,000","9,000","24,586",1934.89:1,4.57%,신한금융투자,129920
쏘카(유가),2022.08.04,"34,000~45,000","28,000","101,920",56.07:1,0.17%,"미래에셋증권,삼성증권,유안타증권",403550
에이치와이티씨,2022.07.21,"13,000~15,000","15,000","29,380",1480.78:1,6.08%,"신영증권,유진투자증권,현대차증권",148930
새빗켐,2022.07.20,"25,000~30,000","35,000","26,750",1670.90:1,37.70%,한국투자증권,107600
유안타스팩9호,2022.07.19,"2,000~2,000","2,000","10,000",,-,유안타증권,430700
수산인더스트리(유가),2022.07.14,"35,000~43,100","35,000","200,025",130.37:1,18.94%,"삼성증권,미래에셋증권",126720
에이프릴바이오,2022.07.13,"20,000~23,000","16,000","32,400",14.43 :1,10.66%,NH투자증권,397030
신한스팩10호,2022.07.13,"2,000~2,000","2,000","6,500",,-,신한금융투자,418210
아이씨에이치,2022.07.13,"34,000~44,000","34,000","40,120",57.28:1,12.47%,삼성증권,368600
성일하이텍,2022.07.11,"40,700~47,500","50,000","108,669",2269.68:1,38.66%,"KB증권,대신증권,삼성증권",365340
IBKS스팩18호,2022.07.07,"2,000~2,000","2,000","8,000",,-,IBK투자증권,424760
루닛,2022.07.07,"44,000~49,000","30,000","53,429",7.10 :1,1.65%,NH투자증권,328130
대신밸런스12호스팩,2022.06.30,"2,000~2,000","2,000","10,000",,-,대신증권,426670
에이치피에스피,2022.06.29,"23,000~25,000","25,000","69,000",1511.36:1,42.54%,NH투자증권,403870
영창케미칼,2022.06.27,"15,000~18,600","18,600","36,000",1616.27:1,5.92%,하나증권,112290
코난테크놀로지,2022.06.21,"21,000~25,000","25,000","25,200",1482.6:1,7.07%,한국투자증권,402030
삼성스팩6호,2022.06.16,"2,000~2,000","2,000","10,000",,-,삼성증권,425290
넥스트칩,2022.06.16,"9,900~11,600","13,000","25,740",1623.41:1,11.58%,대신증권,396270
NH스팩23호,2022.06.13,"2,000~2,000","2,000","12,300",,-,NH투자증권,422040
위니아에이드,2022.06.09,"14,200~16,200","16,200","76,198",955:1,1.39%,신한금융투자,377460
레이저쎌,2022.06.09,"12,000~14,000","16,000","19,200",1442.95:1,12.43%,삼성증권,412350
KB스팩21호,2022.06.08,"2,000~2,000","2,000","15,000",,-,KB증권,424140
교보스팩12호,2022.06.08,"2,000~2,000","2,000","11,500",,-,교보증권,421800
보로노이,2022.06.08,"40,000~46,000","40,000","52,000",28.35 :1,-,"한국투자증권,미래에셋증권",310210
범한퓨얼셀,2022.06.02,"32,200~40,000","40,000","68,779",751.39:1,10.75%,"NH투자증권,한국투자증권,하이투자증권,DB금융투자",382900
비플라이소프트,2022.06.02,"16,500~19,000","10,000","16,500",111.05:1,0.76%,IBK투자증권,148780
청담글로벌,2022.05.17,"8,400~9,600","6,000","53,270",24.79 :1,16.47%,"KB증권,대신증권",362320
하나금융스팩22호,2022.05.11,"2,000~2,000","2,000","10,000",,-,하나증권,418170
가온칩스,2022.05.02,"11,000~13,000","14,000","22,000",1847.12:1,14.70%,대신증권,399720
마스턴프리미어리츠(유가),2022.05.02,"5,000~5,000","5,000","59,300",,-,삼성증권,357430
대명에너지,2022.04.27,"15,000~18,000","15,000","37,500",254.74:1,1.18%,"한국투자증권,삼성증권",389260
상상인스팩3호,2022.04.14,"2,000~2,000","2,000","9,000",,-,상상인증권,415580
포바이포,2022.04.14,"11,000~14,000","17,000","19,524",1846.32 :1,55.52%,미래에셋증권,389140
신영스팩7호,2022.04.13,"2,000~2,000","2,000","8,400",,-,신영증권,419270
신한스팩9호,2022.04.12,"2,000~2,000","2,000","8,000",,-,신한금융투자,405640
미래에셋비전스팩1호,2022.04.05,"2,000~2,000","2,000","11,700",,-,미래에셋증권,412930
키움스팩6호,2022.03.23,"2,000~2,000","2,000","6,400",,-,키움증권,413600
지투파워,2022.03.17,"13,500~16,400","16,400","11,947",1729.63:1,11.16%,"한국투자증권,KB증권",388050
유진스팩8호,2022.03.17,"2,000~2,000","2,000","10,000",,-,유진투자증권,413630
세아메카닉스,2022.03.10,"3,500~4,000","4,400","23,275",1812.83:1,6.73%,신한금융투자,396300
공구우먼,2022.03.07,"26,000~31,000","20,000","36,400",56.9:1,2.65%,미래에셋증권,366030
유일로보틱스,2022.02.24,"7,600~9,200","10,000","16,340",1756.45:1,15.92%,한국투자증권,388720
모아데이타,2022.02.21,"24,000~28,000","20,000","19,200",114.19:1,0.87%,하나금융투자,288980
코람코더원리츠(유가),2022.02.21,"5,000~5,000","5,000","97,500",,-,"하나금융투자,삼성증권",417310
SK증권스팩7호,2022.02.16,"2,000~2,000","2,000","6,000",,-,SK증권,408920
비씨엔씨,2022.02.16,"9,000~11,500","13,000","22,500",1831.23:1,22.84%,NH투자증권,146320
노을,2022.02.15,"13,000~17,000","10,000","19,500",31.50:1,-,"한국투자증권, 삼성증권",376930
브이씨,2022.02.10,"15,000~19,500","15,000","15,000",190.59:1,19.93%,한국투자증권,365900
풍원정밀,2022.02.10,"13,200~15,200","15,200","39,600",1556.53:1,11.00%,대신증권,371950
스톤브릿지벤처스,2022.02.09,"9,000~10,500","8,000","40,500",20.06:1,-,"KB증권,삼성증권",330730
하나금융스팩21호,2022.02.09,"2,000~2,000","2,000","12,000",,-,하나금융투자,406760
퓨런티어,2022.02.07,"11,400~13,700","15,000","18,240",1535.42:1,11.08%,"유안타증권,신한금융투자",370090
IBKS스팩17호,2022.02.03,"2,000~2,000","2,000","5,000",,-,IBK투자증권,405350
한국스팩10호,2022.01.25,"2,000~2,000","2,000","9,000",,-,한국투자증권,409570
바이오에프디엔씨,2022.01.24,"23,000~29,000","28,000","29,900",74.01:1,11.80%,DB금융투자,251120
인카금융서비스,2022.01.24,"23,000~27,000","18,000","20,235",13.69:1,4.19%,한국투자증권,211050
나래나노텍,2022.01.17,"17,500~20,500","17,500","54,250",102:1,0.97%,미래에셋증권,137080
아셈스,2022.01.17,"7,000~8,000","8,000","14,000",1618.26:1,7.71%,한국투자증권,136410
스코넥,2022.01.13,"9,000~12,000","13,000","20,036",1724.66:1,59.95%,신영증권,276040
이지트로닉스,2022.01.13,"19,000~22,000","22,000","37,620",1343.51:1,2.94%,NH투자증권,377330
LG에너지솔루션(유가),2022.01.11,"257,000~300,000","300,000","10,922,500",2023.37:1,77.38%,"KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자",373220
애드바이오텍,2022.01.06,"7,000~8,000","7,000","9,520",102.15:1,-,대신증권,179530
디비금융스팩10호,2022.01.06,"2,000~2,000","2,000","10,000",,-,DB금융투자,404950
케이옥션,2022.01.06,"17,000~20,000","20,000","27,200",1638.36:1,36.80%,신영증권,102370
오토앤,2022.01.05,"4,200~4,800","5,300","12,085",1713:1,8.34%,"미래에셋증권,현대차증권",353590
래몽래인,2021.12.15,"11,500~13,000","15,000","13,800",1545.68:1,17.75%,IBK투자증권,200350
하나금융스팩20호,2021.12.13,"2,000~2,000","2,000","6,000",,-,하나금융투자,400560
NH스팩22호,2021.12.13,"2,000~2,000","2,000","12,000",,-,NH투자증권,396770
하이스팩7호,2021.12.06,"2,000~2,000","2,000","10,000",,-,하이투자증권,400840
교보스팩11호,2021.12.06,"2,000~2,000","2,000","8,400",,-,교보증권,397880
케이티비네트워크,2021.11.29,"5,800~7,200","5,800","116,000",50.19:1,6.94%,"한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권",298870
툴젠,2021.11.25,"100,000~120,000","70,000","100,000",29.54:1,0.10%,한국투자증권,199800
대신밸런스스팩11호,2021.11.17,"2,000~2,000","2,000","13,000",,-,대신증권,397500
신한서부티엔디리츠(유가),2021.11.17,"5,000~5,000","5,000","134,889",564.84:1,15.28%,"한국투자증권,신한금융투자,하나금융투자",404990
미래에셋글로벌리츠(유가),2021.11.15,"5,000~5,000","5,000","75,100",1019.58:1,17.34%,"미래에셋증권,KB증권,NH투자증권",396690
마인즈랩,2021.11.08,"26,000~30,000","30,000","15,715",197.55:1,19.74%,"NH투자증권,하나금융투자",377480
알비더블유,2021.11.05,"18,700~21,400","21,400","23,431",1719.61 :1,15.98%,미래에셋증권,361570
바이옵트로,2021.11.03,"7,500~8,500","7,500","7,500",205.12:1,0.98%,한국투자증권,222160
트윔,2021.11.02,"17,800~20,400","22,000","21,716",1627.34:1:,9.20%,대신증권,290090
지오엘리먼트,2021.10.28,"7,600~8,700","10,000","11,757",1613.84 :1,15.23%,NH투자증권,311320
NH올원리츠(유가),2021.10.28,"5,000~5,000","5,000","140,500",628.2:1,17.07%,"한국투자증권,NH투자증권,대신증권",400760
비트나인,2021.10.25,"8,700~9,700","11,000","18,017",1662.29:1,5.96%,하나금융투자,357880
디어유,2021.10.25,"18,000~24,000","26,000","59,400",2001.11:1,37.46%,한국투자증권,376300
아이티아이즈,2021.10.25,"12,500~14,300","14,300","22,212",1601.14:1,9.11%,신한금융투자,372800
지니너스,2021.10.21,"24,700~32,200","20,000","49,400",66.03:1,0.10%,"대신증권,NH투자증권",389030
카카오페이(유가),2021.10.20,"60,000~90,000","90,000","1,020,000",1714.47:1,70.44%,"삼성증권,대신증권,한국투자증권,신한금융투자",377300
피코그램,2021.10.19,"11,000~12,500","12,500","11,000",1472.19:1,12.96%,IBK투자증권,376180
엔켐,2021.10.15,"30,000~35,000","42,000","67,878",1647.40 :1,64.45%,"대신증권,신한금융투자",348370
리파인,2021.10.14,"21,000~24,000","21,000","90,930",64.19:1,3.22%,KB증권,377450
지앤비에스엔지니어링,2021.10.14,"14,300~17,400","17,400","20,377",1134.34:1,4.37%,삼성증권,382800
아이패밀리에스씨,2021.10.12,"39,000~48,000","25,000","38,142",63.10:1,-,삼성증권,114840
차백신연구소,2021.10.05,"11,000~15,000","11,000","43,450",206.23:1,1.93%,삼성증권,261780
지아이텍,2021.10.05,"11,500~13,100","14,000","31,050",2068.17 :1,25.28%,미래에셋증권,382480
NH스팩21호,2021.09.28,"2,000~2,000","2,000","12,500",,-,NH투자증권,391710
씨유테크,2021.09.23,"5,100~5,600","6,000","26,775",1565.03:1,22.76%,대신증권,376290
아스플로,2021.09.16,"19,000~22,000","25,000","11,970",2142.7:1,12.10%,미래에셋증권,159010
원준,2021.09.15,"52,000~60,000","65,000","52,249",1464.10:1,44.30%,NH투자증권,382840
하나금융스팩19호,2021.09.15,"2,000~2,000","2,000","11,000",,-,하나금융투자,388220
NH스팩20호,2021.09.14,"2,000~2,000","2,000","40,000",,-,NH투자증권,391060
케이카(유가),2021.09.13,"34,300~43,200","25,000","577,278",40:1,-,"NH투자증권,대신증권,삼성증권,하나금융투자",381970
실리콘투,2021.09.09,"23,800~27,200","27,200","39,365",1437.63:1,8.37%,"삼성증권,미래에셋증권",257720
프롬바이오,2021.09.09,"21,500~24,500","18,000","64,500",85.71:1,1.45%,NH투자증권,377220
신한스팩8호,2021.09.08,"2,000~2,000","2,000","12,500",,-,신한금융투자,393360
바이오플러스,2021.09.08,"28,500~31,500","31,500","39,900",1220.2:1,7.80%,키움증권,099430
에스앤디,2021.09.07,"30,000~32,000","28,000","30,690",173.11:1,0.01%,유진투자증권,260970
현대중공업(유가),2021.09.02,"52,000~60,000","60,000","936,000",1835.87:1,53.09%,"미래에셋,한국투자,하나금융,KB증권,삼성증권,대신증권,DB금융,신영증권",329180
유진스팩7호,2021.08.26,"2,000~2,000","2,000","8,000",,-,유진증권,388800
와이엠텍,2021.08.25,"21,000~25,000","28,000","12,600",1696.19:1,31.59%,KB증권,273640
에이비온,2021.08.24,"14,500~17,000","17,000","33,060",139.36:1,4.30%,"미래에셋증권,한화투자증권,유진투자증권",203400
SK리츠(유가),2021.08.23,"5,000~5,000","5,000","232,551",,-,"한국투자증권,삼성증권,SK증권,하나금융투자",395400
일진하이솔루스(유가),2021.08.19,"25,700~34,300","34,300","279,975",1471.01:1,61.52%,"미래에셋증권,삼성증권,현대차증권,대신증권",271940
IBKS스팩16호,2021.08.19,"2,000~2,000","2,000",100,,-,IBK투자증권,388790
바이젠셀,2021.08.06,"42,800~52,700","52,700","80,741",1271.21:1,13.61%,"대신증권,KB증권",308080
브레인즈컴퍼니,2021.08.03,"20,000~22,500","25,000","12,000",1428.8:1,8.92%,키움증권,099390
롯데렌탈(유가),2021.08.03,"47,000~59,000","59,000","677,834",217.63:1,14.65%,"NH투자증권,한국투자증권,KB증권,미래에셋증권,삼성증권,신한금융,키움증권,하나금융",089860
딥노이드,2021.08.02,"31,500~42,000","42,000","9,450",1179.07:1,7.29%,KB증권,315640
아주스틸(유가),2021.08.02,"12,700~15,100","15,100","88,106",1776.9:1,16.33%,미래에셋증권,139990
플래티어,2021.07.30,"8,500~10,000","11,000","15,300",1631:1,18.29%,"KB증권,하나금융투자",367000
엠로,2021.07.29,"20,100~22,600","22,600","20,423",685.60:1,6.97%,한국투자증권,058970
한컴라이프케어(유가),2021.07.29,"10,700~13,700","13,700","88,834",418.99:1,3.27%,미래에셋증권,372910
원티드랩,2021.07.26,"28,000~35,000","35,000","20,440",1503.91:1,10.98%,한국투자증권,376980
디앤디플랫폼리츠,2021.07.26,"5,000~5,000","5,000","175,000",,-,"NH투자증권,신한금융투자,대신증권",377190
에이치케이이노엔,2021.07.22,"50,000~59,000","59,000","505,850",1871.36:1,13.49%,"한국투자증권,삼성증권",195940
한화플러스스팩2호,2021.07.21,"2,000~2,000","2,000","7,500",,-,한화투자증권,386580
카카오뱅크(유가),2021.07.20,"33,000~39,000","39,000","2,159,850",1732.83:1,45.28%,"KB증권,한국투자증권,하나금융투자,현대차증권",323410
크래프톤(유가),2021.07.14,"400,000~498,000","498,000","3,461,692",243.15:1,22.05%,"미래에셋증권,NH투자증권,삼성증권",259960
에브리봇,2021.07.13,"32,600~36,700","36,700","36,512",576.74:1,0.67%,NH투자증권,270660
맥스트,2021.07.12,"11,000~13,000","15,000","11,000",1587.01:1,39.13%,하나금융투자,377030
큐라클,2021.07.07,"20,000~25,000","25,000","42,666",1219.27:1,7.23%,"삼성증권,NH투자증권",365270
에스디바이오센서(유가),2021.07.05,"45,000~52,000","52,000","559,899",1143.76:1,12.45%,"NH투자증권,한국투자증권,삼성증권,KB증권",137310
오비고,2021.06.28,"12,400~14,300","14,300","27,426",1123.74 :1,7.68%,NH투자증권,352910
아모센스,2021.06.10,"12,400~15,200","12,400","34,470",116.79:1,2.57%,신한금융투자,357580
삼성머스트스팩5호,2021.06.03,"2,000~2,000","2,000","8,000",,-,삼성증권,380320
