기업명,예측일,공모희망가(원),공모가(원),공모금액(백만원),기관경쟁률,의무보유확약,주간사,종목코드
삼성스팩2호,2018.08.27,"2,000~2,000","2,000","13,000",,-,"삼성증권,신한금융투자",291230
디지캡,2018.08.22,"8,500~10,500","12,000","4,967",979.06:1,4.18%,KB증권,197140
대신밸런스스팩5호,2018.08.16,"2,000~2,000","2,000","7,000",,-,대신증권,303030
액트로,2018.08.09,"20,000~24,000","20,000","24,000",132.07:1,1.86%,키움증권,290740
에이피티씨,2018.08.07,"11,500~13,000","9,000","26,450",20.99:1,8.70%,대신증권,089970
오파스넷,2018.08.06,"8,500~9,700","11,000","8,568",861.66:1,14.22%,교보증권,173130
바이오솔루션,2018.08.02,"24,000~29,000","29,000","36,000",174.79:1,5.04%,한국투자증권,086820
대유,2018.07.24,"8,900~10,000","9,000","27,412",148.39:1,-,KB증권,290380
에스에스알,2018.07.19,"6,600~7,500","9,000","9,372",928.44:1,41.62%,하나금융투자,275630
휴네시온,2018.07.19,"8,700~10,000","10,000","12,097",751.89:1,8.90%,NH투자증권,290270
디아이티,2018.07.18,"9,400~10,400","10,000","35,320",105.14:1,6.80%,삼성증권,110990
티웨이항공(유가),2018.07.17,"14,600~16,700","12,000","233,600",23.03:1,-,"신한금융투자,대신증권,하나금융투자",091810
롯데정보통신(유가),2018.07.11,"28,300~33,800","29,800","121,293",79.33:1,25.90%,"미래에셋대우,신한금융투자,케이비증권,하나금융투자",286940
한국유니온제약,2018.07.09,"13,500~16,000","18,000",-,918.99:1,9.40%,DB금융투자,080720
엠코르셋,2018.07.05,"10,100~11,500","11,500",-,766.05:1,16.40%,대신증권,204020
IBKS스팩9호,2018.07.05,"2,000~2,000","2,000",-,,-,아이비케이투자증권,297570
올릭스,2018.07.02,"26,000~30,000","36,000",-,876.72:1,74.03%,NH투자증권,226950
아이큐어,2018.06.28,"44,000~55,000","65,000",-,642.1:1,5.08%,키움증권,175250
에스브이인베스트먼트,2018.06.21,"5,600~6,300","7,000","21,840",786.73:1,4.70%,미래에셋대우,289080
이원다이애그노믹스,2018.06.11,"4,700~5,700","6,500","33,840",749.79:1,27.87%,"SK증권,삼성증권,하나금융투자",245620
이리츠코크렙기업(유가),2018.06.07,"4,800~5,200","5,000","75,943",6.29:1,-,"NH투자증권,신영증권,이베스트투자증권,KB증권",088260
파워넷,2018.05.24,"5,500~6,500","6,500","19,639",590.60:1,7.66%,DB금융투자,037030
하나금융스팩11호,2018.05.23,"2,000~2,000","2,000","9,000",,-,하나금융투자,284620
현대사료,2018.05.16,"5,700~6,600","6,600","8,699",839.16:1,31.92%,신한금융투자,016790
세종메디칼,2018.05.14,"10,800~13,700","15,000","21,924",836.68:1,39.75%,한국투자증권,258830
제노레이,2018.05.09,"17,500~20,500","23,000","10,533",907.12:1,32.59%,한국투자증권,122310
한국스팩7호,2018.04.24,"2,000~2,000","2,000","8,500",,-,한국투자증권,291210
유안타스팩3호,2018.04.18,"2,000~2,000","2,000","7,000",,-,유안타증권,287410
대신밸런스스팩3호,2018.03.21,"2,000~2,000","2,000","10,000",,-,대신증권,253590
제이티씨(JTC),2018.03.20,"6,200~7,600","8,500",-,478:1,24.17%,삼성증권,950170
케어랩스,2018.03.12,"15,000~18,000","20,000","19,500",934.42:1,40.19%,한국투자증권,263700
애경산업(유가),2018.03.07,"29,100~34,100","29,100","197,880",24.30:1,8.51%,"대신증권,NH투자증권,신한금융투자,하나금융투자",018250
린드먼아시아인베스트먼트,2018.02.26,"5,000~5,500","6,500","16,990",640.8:1,27.40%,키움증권,277070
에코마이스터,2018.02.26,"6,000~8,500","5,200",500,15.54:1,-,"대신증권,한화투자증권",064510
엔지켐생명과학,2018.02.05,"45,000~70,000","56,000","34,650",258.68:1,13.25%,한국투자증권,183490
오스테오닉,2018.02.01,"5,800~7,500","7,700","6,960",442:1,1.70%,키움증권㈜,226400
동구바이오제약,2018.01.30,"12,000~14,500","16,000","24,829",727.70:1,53.41%,NH투자증권,006620
아시아종묘,2018.01.29,"4,200~5,200","4,500","4,200",239.52:1,4.39%,"대신증권,KTB증권",154030
알리코제약,2018.01.25,"10,000~13,000","12,000","23,500",389.27:1,9.38%,아이비케이투자증권,260660
카페24,2018.01.23,"43,000~57,000","57,000","38,700",672.71:1,42.90%,"미래에셋대우,유안타증권,한화투자증권",042000
링크제니시스,2018.01.18,"22,000~25,000","30,000","6,600",754.60:1,35.90%,하나금융투자,219420
배럴,2018.01.15,"8,000~9,500","9,500","13,680",298.48:1,9.06%,하나금융투자,267790
에스지이,2018.01.11,"6,300~7,200","6,000","19,734",17.03:1,-,"대신증권,KTB투자증권",255220
씨앤지하이테크,2018.01.10,"16,000~20,000","16,000","20,608",249.23:1,-,신한금융투자,264660
시스웍,2017.12.08,"3,300~3,900","2,800","14,746",78.86:1,0.44%,하나금융투자,269620
한국스팩6호,2017.12.07,"2,000~2,000","2,000","8,000",,-,한국투자증권,281410
디바이스이엔지,2017.12.04,"15,500~17,500","12,000","27,125",11.40:1,-,한국투자증권,187870
동부스팩5호,2017.11.27,"2,000~2,000","2,000","8,000",,-,DB금융투자,281740
진에어(유가),2017.11.23,"26,800~31,800","31,800","321,600",274.55:1,7.30%,"미래에셋대우,삼성증권,케이비증권,한국투자증권,NH투자증권",272450
동양피스톤(유가),2017.11.22,"5,700~7,300","5,700","18,810",62.80:1,-,"아이비케이투자증권,대신증권",092780
메카로,2017.11.21,"25,000~30,000","33,000","50,000",719.26:1,42.07%,한국투자증권,241770
씨티케이코스메틱스,2017.11.21,"46,000~55,000","55,000","92,000",188.65:1,6.60%,"미래에셋대우,신영증권",260930
에스트래픽,2017.11.20,"8,000~10,000","10,000","17,040",605.02:1,13.40%,미래에셋대우,234300
대원,2017.11.16,"13,000~15,000","15,000","26,000",247.25:1,0.20%,"신한금융투자,미래에셋대우",007680
체리부로,2017.11.16,"4,300~4,700","4,700","26,453",265.38:1,0.40%,"미래에셋대우,케이비증권,케이티비투자증권",066360
비즈니스온커뮤니케이션,2017.11.15,"8,100~9,000","9,000","15,373",513.97:1,14.90%,케이비증권,138580
삼양패키징(유가),2017.11.13,"26,000~30,000","26,000","119,481",16.73:1,0.36%,한국투자증권,272550
한화에이스스팩4호,2017.11.09,"2,000~2,000","2,000","6,300",,-,한화투자증권,279410
스튜디오드래곤,2017.11.09,"30,900~35,000","35,000","185,400",536.68:1,27.20%,"미래에셋대우,하나금융투자",253450
IBKS스팩7호,2017.10.30,"2,000~2,000","2,000","7,000",,-,아이비케이투자증권,276920
비디아이,2017.10.23,"9,500~12,000","10,000","12,825",53.95:1,-,신영증권,148140
테이팩스(유가),2017.10.17,"23,000~26,000","23,000","38,180",16.81:1,-,"케이비증권,신한금융투자",055490
티슈진,2017.10.17,"16,000~27,000","27,000","120,000",299.49:1,22.45%,"NH투자증권,한국투자증권,하나금융투자,한화투자증권,이베스트투자증권",950160
영화테크,2017.10.11,"12,500~15,500","12,500","8,800",61.83:1,-,신한금융투자,265560
신한스팩4호,2017.09.27,"2,000~2,000","2,000","10,000",,-,신한금융투자,277480
세원,2017.09.26,"5,200~6,200","5,700","5,720",90.67:1,-,현대차투자증권,234100
상신전자,2017.09.20,"11,600~13,300","13,300","8,120",601.54:1,-,미래에셋대우,263810
IBKS스팩8호,2017.09.18,"2,000~2,000","2,000","4,000",,-,아이비케이투자증권,277410
에스엔피월드,2017.09.14,"4,300~5,100","5,100","8,600",534.27:1,4.97%,대신증권,263920
야스,2017.09.14,"23,500~26,500","23,500","54,050",28.90:1,7.15%,한국투자증권,255440
유티아이,2017.09.11,"28,000~33,000","25,000","31,360",5.05:1,0.40%,한국투자증권,179900
신흥에스이씨,2017.09.11,"11,000~14,000","16,000","23,100",482.4:1,33.10%,삼성증권,243840
엠플러스,2017.09.06,"14,000~16,000","18,000","17,500",596.2:1,27.20%,키움증권,259630
선익시스템,2017.09.04,"37,000~44,000","37,000","69,375",7.87:1,-,대신증권,171090
샘코,2017.08.31,"14,000~18,000","11,000","21,000",19.26:1,0.96%,"한국투자증권,대신증권",263540
앱클론,2017.08.31,"8,000~10,000","10,000","5,445",564.87:1,21.72%,NH투자증권,174900
펄어비스,2017.08.29,"80,000~103,000","103,000","144,000",62.40:1,6.22%,한국투자증권,263750
케이피에스,2017.08.23,"16,000~20,000","14,000","17,268",75.3:1,-,키움증권,256940
덕우전자,2017.08.09,"13,500~15,500","15,500","33,750",282.69:1,11.35%,한국투자증권,263600
하나금융스팩10호,2017.08.07,"2,000~2,000","2,000","9,000",,-,하나금융투자,270520
이더블유케이,2017.08.03,"4,200~5,000","5,000","9,324",588.13:1,25.95%,신영증권,258610
컬러레이,2017.07.25,"3,800~5,800","3,800","53,200",60.49:1,-,신한금융투자,900310
엔에이치스팩12호,2017.07.24,"2,000~2,000","2,000","13,000",,-,NH투자증권,273060
알에스오토메이션,2017.07.24,"5,250~6,000","6,000","12,799",656.89:1,61.00%,미래에셋대우,140670
모트렉스,2017.07.20,"31,200~38,300","38,300","56,160",357.12:1,11.24%,"미래에셋대우,HMC투자증권",118990
디앤씨미디어,2017.07.19,"17,000~20,000","20,000","17,119",539.1:1,33.50%,키움증권,263720
데이타솔루션,2017.07.18,"2,700~3,300","3,300","12,420",395.83:1,23.09%,미래에셋대우,263800
지니언스,2017.07.17,"12,000~13,500","13,500","9,960",620.04:1,14.50%,하나금융투자,263860
셀트리온헬스케어,2017.07.13,"32,500~41,000","41,000","799,630",38.06:1,12.50%,"미래에셋대우,유비에스증권리미티드,맥쿼리증권,신한금융투자,한화투자증권",091990
이즈미디어,2017.07.10,"7,500~10,000","7,500","11,400",129.22:1,1.38%,한국투자증권,181340
한국스팩5호,2017.07.10,"2,000~2,000","2,000","7,000",,-,한국투자증권,271740
힘스,2017.07.04,"15,500~18,800","20,000","12,400",729.64:1,27.48%,"KB증권,SK증권",238490
아우딘퓨쳐스,2017.06.27,"26,000~30,000","26,000","26,000",182.60:1,-,하나금융투자,227610
브이원텍,2017.06.26,"15,200~17,700","17,700","27,800",557.47:1,8.30%,미래에셋대우,251630
제일홀딩스,2017.06.12,"20,700~22,700","20,700","442,267",113.98:1,2.88%,"케이비증권,신한금융투자",003380
하나금융스팩9호,2017.06.12,"2,000~2,000","2,000","10,000",,-,하나금융투자,261200
교보스팩7호,2017.06.08,"2,000~2,000","2,000","8,500",,-,교보증권,267320
한화수성스팩,2017.05.24,"2,000~2,000","2,000","10,000",,-,한화투자증권,265920
보라티알,2017.05.23,"12,500~14,300","14,300","21,096",557.61:1,13.30%,대신증권,250000
삼양옵틱스,2017.05.18,"16,700~20,600","16,700","66,800",33.2:1,8.70%,미래에셋대우,225190
필옵틱스,2017.05.17,"41,000~48,000","48,000","47,560",647.18:1,13.25%,"신한금융투자,삼성증권",161580
IBKS스팩6호,2017.05.15,"2,000~2,000","2,000","8,000",,-,아이비케이투자증권,264850
미래에셋대우스팩1호,2017.05.10,"2,000~2,000","2,000","8,000",,-,미래에셋대우,265480
엔에이치스팩10호,2017.04.17,"2,000~2,000","2,000","13,000",,-,NH투자증권,256630
한화에이스스팩3호,2017.04.13,"2,000~2,000","2,000","5,500",,-,한화투자증권,264290
하나머티리얼즈,2017.04.12,"10,000~12,000","12,000","19,400",689.90:1,49.73%,"NH투자증권,대신증권",166090
케이비스팩11호,2017.04.12,"2,000~2,000","2,000","6,000",,-,케이비증권,258790
넷마블게임즈(유가),2017.04.11,"121,000~157,000","157,000","2,051,387",240.74:1,47.10%,"NH투자증권,한국투자증권,SK증권",251270
와이엠티,2017.04.11,"16,500~18,500","21,000","9,283",706.16:1,42.75%,하나금융투자,251370
ING생명보험(유가),2017.04.06,"31,500~40,000","33,000","1,055,250",3.97:1,0.13%,"삼성증권,미래에셋대우,케이비증권",079440
신영스팩3호,2017.03.23,"2,000~2,000","2,000","5,000",,-,신영증권,263770
이엘피,2017.03.23,"17,000~20,000","20,000","13,600",527.12:1,11.26%,NH투자증권,063760
서진시스템,2017.03.13,"21,000~25,000","25,000","30,030",588.93:1,36.65%,NH투자증권,178320
코미코,2017.03.07,"11,000~13,000","13,000","27,500",580.68:1,30.91%,NH투자증권,183300
아스타,2017.03.06,"13,000~18,000","8,000","22,750",18.4:1,-,키움증권,246720
덴티움(유가),2017.02.27,"45,000~50,000","32,000","114,562",22.96:1,0.40%,NH투자증권,145720
대신밸런스스팩4호,2017.02.15,"2,000~2,000","2,000","10,000",,-,대신증권,262830
에스디생명공학,2017.02.14,"15,000~18,000","12,000","57,600",26.66:1,-,"한국투자증권,신한금융투자,대우증권",217480
모바일어플라이언스,2017.02.13,"3,000~3,500","3,500","11,298",471.31:1,19.13%,NH투자증권,087260
신한스팩3호,2017.02.09,"2,000~2,000","2,000","6,000",,-,신한금융투자,257730
에프엔에스테크,2017.02.09,"11,000~13,000","14,000","11,000",624.02:1,6.26%,한국투자증권,083500
