종목코드,종목명,매출액 증감율,영업이익 증감율,EPS 증감율,자산비율,부채비율,유동비율,순운전자비율,예상 시가총액,PBR,PSR,ROE,ROA,OPM,시초/공모(%),nsi_5,업황,공모주 시장 동향,유통가능물량비율,기관경쟁률,의무보유확약비율,공모금액,공모밴드비율
424980,마이크로투나노,30.649611913021506,28.516675653877698,37.63004196822915,189.59719680065209,89.59719680065209,422.4932161485099,46.37683826238237,91742795000.0,3.5174107162666726,2.214674816518289,22.801127032341604,11.712469160928594,15.179771135427583,62.58,99.242,-2.1323752988166205,0.9375,55.6,1716.98,10.69,13500000000.0,106.9
393210,토마토시스템,18.52371644491717,399.4495983396607,255.97207173680326,136.07128817801194,36.07128817801193,418.8992876870527,58.01224466757894,94534840400.0,7.426468096987789,3.4896675811125504,35.95042654404545,26.420288236717642,27.52852001610962,-0.55,99.242,-7.4117737930486385,0.9375,48.19,363.22,1.89,15652000000.0,90.1
417790,트루엔,7.925137001774448,-8.253929650548649,-10.402317405603407,107.79794171696409,7.797941716964095,1157.1042338674101,71.92629147158637,131995800000.0,2.582858885603935,3.3991676302203815,14.93700530126007,13.85648470030986,23.200891460199273,61.17,97.392,-0.8627535356016229,0.9375,38.09,1688.87,7.78,25000000000.0,109.09
309960,엘비인베스트먼트,-53.24194492210347,-67.7005970159383,-76.53773100976447,111.40176829548135,11.401768295481343,723.1013737082565,14.422490655359525,118407918900.0,1.2287676121811677,5.12899618804444,7.987401522178515,7.168398116124411,43.48268360018819,27.45,90.506,13.937695704260054,0.7391304347826086,19.89,1298.41,2.68,20319000000.0,107.37
358570,지아이이노베이션,-57.64040986292226,-167.2235675303303,41.17474431135989,112.4405782753658,12.440578275365805,863.763148107875,59.74343652171806,286054600000.0,2.2073507074489966,61.2974142857143,-13.926373315261086,-40.872711279343825,-1309.8480648000002,45.77,90.784,-1.889888636782739,0.7391304347826086,59.94,26.7,2.49,32000000000.0,70.27
418550,제이오,-16.835935393191033,-41.80346873022816,47.058210768572714,151.46320583662546,51.46320583662547,252.40731445126298,32.807578023133786,407671550000.0,7.301669288125051,6.228515245415427,-27.772166985114378,-18.28678163792147,-8.525930667637839,53.08,93.72200000000001,0.9132286312510212,0.7391304347826086,24.56,352.61,5.79,40000000000.0,113.04
411080,샌즈랩,-22.164732840222488,-370.31963224052544,-199.86186240508619,210.40250855673,110.40250855673,132.02547405969136,16.804422619111,158665500000.0,37.609623116267315,37.65304342327079,-23.623688449612022,-11.00601155697462,-31.353792635115596,100.0,93.72200000000001,2.8283295112184614,0.7391304347826086,25.73,1325.79,1.3,31450000000.0,110.53
344860,이노진,-2.2253482864917995,-31.94324334843065,-51.48557034559956,118.71467012939601,18.714670129395998,527.2280948450029,63.88938493939366,36090000000.0,5.551962186013524,3.933014093704593,22.466833119405518,18.925068902535163,17.789231474919642,100.0,93.20800000000001,0.7036120020316674,0.7391304347826086,42.2,1603.33,6.28,6500000000.0,109.09
199730,바이오인프라,27.520670360965738,4.426953037848539,-17.219948742342154,194.73376664188368,94.73376664188365,169.47241040005355,15.947388276707214,100734207000.0,6.057859065666875,2.585291122210841,41.37893596411716,21.24897837580127,20.00027722293098,100.0,96.38199999999999,-2.7116196301917808,0.7391304347826086,31.88,1594.95,2.29,11700000000.0,107.69
417010,나노팀,31.379024081153744,-26.554759051023336,-16.720658492735197,256.221523266635,156.22152326663502,148.5957964243972,9.135272787305068,249006264000.0,15.823373798700555,7.008372456612444,33.149667293819114,12.451590736419943,9.239371583748913,100.0,96.612,0.35135147928270116,0.7391304347826086,21.79,1723.21,24.75,23575000000.0,106.12
389020,자람테크놀로지,31.799442038862065,482.41263883028694,-19.353792290167096,111.25543390150135,11.255433901501354,827.4238833063079,68.18177020334818,136350060000.0,7.120432855483855,7.222297621351833,9.858365410628142,8.861019246355307,9.005792241052498,100.0,97.896,-1.0012220576710493,0.7391304347826086,14.14,1702.43,11.16,14880000000.0,122.22
