종목코드,업종명,시장구분
002220,철강금속,KOSPI
051600,건설업,KOSPI
002320,운수창고업,KOSPI
097230,운수장비,KOSPI
003480,서비스업,KOSPI
000700,운수창고업,KOSPI
005110,전기전자,KOSPI
009460,종이목재,KOSPI
000880,화학,KOSPI
009830,화학,KOSPI
009835,화학,KOSPI
000370,보험,KOSPI
000885,화학,KOSPI
003530,증권,KOSPI
003535,증권,KOSPI
027390,유통업,KOSPI
016510,유통업,KOSPI
089470,화학,KOSPI
005440,유통업,KOSPI
000720,건설업,KOSPI
000725,건설업,KOSPI
018410,유통업,KOSPI
018417,유통업,KOSPI
018415,유통업,KOSPI
012330,운수장비,KOSPI
012335,운수장비,KOSPI
010620,운수장비,KOSPI
069960,유통업,KOSPI
012630,건설업,KOSPI
011760,유통업,KOSPI
011200,운수창고업,KOSPI
006390,비금속광물,KOSPI
004310,의약품,KOSPI
017800,기계,KOSPI
042100,전기전자,KOSPI
004020,철강금속,KOSPI
004025,철강금속,KOSPI
009540,운수장비,KOSPI
003450,증권,KOSPI
005380,운수장비,KOSPI
005387,운수장비,KOSPI
005389,운수장비,KOSPI
005385,운수장비,KOSPI
011720,화학,KOSPI
010520,철강금속,KOSPI
001450,보험,KOSPI
003010,유통업,KOSPI
011170,화학,KOSPI
008770,유통업,KOSPI
008775,유통업,KOSPI
002460,건설업,KOSPI
013520,운수장비,KOSPI
006060,화학,KOSPI
010690,운수장비,KOSPI
010660,기계,KOSPI
000850,기계,KOSPI
950010,섬유의복,KOSPI
016580,의약품,KOSPI
004800,화학,KOSPI
094280,서비스업,KOSPI
093370,화학,KOSPI
037270,서비스업,KOSPI
005870,전기전자,KOSPI
006210,전기전자,KOSPI
005010,철강금속,KOSPI
069260,화학,KOSPI
000540,보험,KOSPI
000547,보험,KOSPI
000545,보험,KOSPI
003280,운수창고업,KOSPI
114090,서비스업,KOSPI
109070,종이목재,KOSPI
108670,화학,KOSPI
108675,화학,KOSPI
034730,서비스업,KOSPI
071970,기계,KOSPI
108890,서비스업,KOSPI
114130,서비스업,KOSPI
114140,서비스업,KOSPI
028100,건설업,KOSPI
082640,보험,KOSPI
107590,화학,KOSPI
108070,의료정밀,KOSPI
047400,비금속광물,KOSPI
033660,기타금융,KOSPI
007197,종이목재,KOSPI
093240,섬유의복,KOSPI
111770,유통업,KOSPI
118000,유통업,KOSPI
900050,서비스업,KOSPI
000080,음식료품,KOSPI
039490,증권,KOSPI
053690,서비스업,KOSPI
105630,섬유의복,KOSPI
052690,서비스업,KOSPI
117930,운수창고업,KOSPI
114410,음식료품,KOSPI
032560,철강금속,KOSPI
119650,기계,KOSPI
058850,서비스업,KOSPI
000687,유통업,KOSPI
123700,운수장비,KOSPI
134000,서비스업,KOSPI
119250,서비스업,KOSPI
105380,서비스업,KOSPI
117580,전기가스업,KOSPI
128820,유통업,KOSPI
121910,기타금융,KOSPI
088350,보험,KOSPI
001799,음식료품,KOSPI
002150,서비스업,KOSPI
122290,기타금융,KOSPI
030790,서비스업,KOSPI
115390,화학,KOSPI
060980,운수장비,KOSPI
033920,음식료품,KOSPI
032830,보험,KOSPI
031440,서비스업,KOSPI
122900,유통업,KOSPI
012160,철강금속,KOSPI
122750,기타금융,KOSPI
105840,의료정밀,KOSPI
103130,전기전자,KOSPI
102460,의약품,KOSPI
120030,기계,KOSPI
071320,전기가스업,KOSPI
058860,서비스업,KOSPI
900140,서비스업,KOSPI
120110,화학,KOSPI
120115,화학,KOSPI
121550,서비스업,KOSPI
123690,유통업,KOSPI
128940,의약품,KOSPI
130660,서비스업,KOSPI
126560,서비스업,KOSPI
057050,유통업,KOSPI
081660,유통업,KOSPI
138930,기타금융,KOSPI
139130,기타금융,KOSPI
007070,유통업,KOSPI
140910,서비스업,KOSPI
110570,전기전자,KOSPI
082740,기계,KOSPI
138040,기타금융,KOSPI
134380,화학,KOSPI
145990,음식료품,KOSPI
145995,음식료품,KOSPI
023000,운수장비,KOSPI
136490,음식료품,KOSPI
019440,철강금속,KOSPI
053210,서비스업,KOSPI
031430,유통업,KOSPI
078520,화학,KOSPI
069640,섬유의복,KOSPI
139480,유통업,KOSPI
138440,서비스업,KOSPI
129260,운수창고업,KOSPI
020150,전기전자,KOSPI
950070,서비스업,KOSPI
022520,유통업,KOSPI
138490,화학,KOSPI
140890,서비스업,KOSPI
134790,기타제조업,KOSPI
039130,서비스업,KOSPI
139200,서비스업,KOSPI
071840,유통업,KOSPI
000087,음식료품,KOSPI
023350,서비스업,KOSPI
047810,운수장비,KOSPI
