일자,코스닥,화학,종이·목재,제약,일반전기전자,의료·정밀기기,음식료·담배,운송장비·부품,섬유·의류,비금속,기계·장비,금속,IT H/W,IT S/W & SVC,통신방송서비스,유통,운송,오락·문화,금융,건설,제조업,IT부품,반도체,정보기기,통신장비,컴퓨터서비스,소프트웨어,디지털컨텐츠,인터넷,방송서비스,통신서비스,기타제조,출판·매체복제,기타서비스
2023/06/07,880.72,3205.92,10810.87,8150.05,2291.12,2145.97,8681.38,6416.78,97.97,50155.36,639.64,2925.64,627.06,1783.3,939.08,463.32,3518.79,752.11,1775.03,79.54,3061.53,1312.03,1609.44,11.48,129.94,241.77,260.03,1064.0,10217.61,2771.14,684.96,1453.62,3200.12,2353.93
2023/06/05,870.28,3176.24,10671.15,8228.45,2205.51,2140.78,8727.94,6473.2,97.92,50185.87,631.47,2883.42,626.41,1766.35,925.07,468.14,3527.11,754.61,1587.8,79.5,3029.17,1314.88,1606.14,11.45,129.39,241.22,254.4,1065.46,10309.15,2714.28,683.76,1436.76,3189.85,2354.94
2023/06/02,868.06,3139.8,10563.84,8242.65,2193.85,2143.54,8710.11,6410.78,97.89,50000.25,628.08,2769.23,627.61,1757.84,923.67,471.37,3474.96,754.31,1586.49,78.54,3011.67,1311.08,1615.05,11.5,128.68,239.09,252.88,1063.84,10122.74,2707.26,684.43,1378.82,3238.23,2363.95
2023/06/01,863.78,3103.25,10475.3,8269.26,2161.85,2122.22,8635.71,6382.8,96.2,49740.98,616.73,2736.68,629.83,1749.45,926.3,468.71,3535.17,755.42,1575.9,77.95,2984.45,1301.12,1631.99,11.47,128.31,234.12,251.34,1063.15,10001.21,2718.59,684.25,1320.22,3326.64,2360.07
2023/05/31,856.94,3084.2,10598.99,8110.04,2164.99,2085.7,8403.49,6352.62,96.22,49645.29,614.4,2747.85,626.25,1738.72,924.56,458.49,3524.98,750.46,1579.04,78.14,2961.39,1301.83,1617.55,11.35,127.81,232.17,249.38,1060.37,9814.81,2712.58,683.5,1324.17,3349.82,2321.79
2023/05/30,851.5,3082.72,10471.46,8084.24,2097.74,2073.27,8312.8,6350.96,96.77,49779.68,616.32,2738.57,624.66,1730.61,926.63,457.3,3533.95,754.67,1547.62,78.52,2936.9,1289.52,1618.29,11.35,127.77,232.86,249.96,1046.3,9776.79,2724.79,681.46,1308.35,3540.47,2302.07
2023/05/26,843.23,3047.05,10405.9,8106.83,2073.32,2071.24,8370.64,6342.79,96.96,49443.17,608.7,2774.1,612.79,1697.19,931.86,454.7,3535.18,730.43,1538.43,78.51,2924.39,1267.43,1580.92,11.27,127.35,226.76,245.64,1024.04,9627.44,2748.5,680.47,1343.18,3529.15,2288.08
2023/05/25,847.72,3069.2,10449.87,8085.91,2102.64,2057.18,8620.12,6474.21,97.35,49696.03,614.14,2788.09,609.33,1723.77,937.26,456.21,3616.69,730.76,1551.21,79.58,2944.75,1273.1,1560.09,11.33,128.13,226.67,250.58,1037.93,9686.09,2765.77,683.63,1378.76,3598.11,2306.44
2023/05/24,855.46,3096.43,10477.6,8202.65,2129.14,2075.21,8695.71,6554.46,97.9,50111.93,616.05,2827.29,611.14,1714.58,943.03,463.44,3702.44,742.96,1592.28,80.5,2974.99,1285.43,1559.26,11.4,128.49,228.7,248.94,1031.4,9699.01,2783.72,687.31,1392.95,3557.92,2340.0
2023/05/23,859.16,3091.64,10495.6,8245.43,2125.0,2079.52,8547.48,6548.23,99.09,50036.83,622.09,2772.23,614.79,1731.42,948.79,467.21,3739.36,757.21,1600.4,80.23,2976.45,1288.88,1571.06,11.47,129.33,230.3,250.22,1046.53,9854.58,2802.43,690.51,1388.42,3543.3,2356.4
2023/05/22,852.04,3059.78,10359.96,8146.15,2069.52,2090.57,8571.14,6575.59,99.21,50378.91,617.65,2701.71,614.18,1724.84,941.4,464.1,3739.6,750.67,1594.46,80.11,2941.5,1276.81,1575.36,11.36,129.98,228.4,247.54,1051.44,9792.87,2771.36,690.49,1377.57,3527.39,2318.82
2023/05/19,841.72,3032.43,10370.12,8059.58,1992.15,2092.19,8437.89,6572.99,98.71,49754.56,612.56,2636.24,611.76,1722.64,938.71,456.57,3732.48,755.79,1521.68,79.53,2895.94,1269.95,1571.61,11.27,129.0,227.07,248.02,1046.75,9791.06,2765.34,687.42,1342.02,3509.11,2297.77
2023/05/18,835.89,3010.09,10191.56,7990.65,2037.93,2072.64,8406.56,6666.03,98.3,48658.71,606.89,2636.06,590.9,1703.76,927.21,446.27,3657.65,765.08,1581.94,78.39,2895.95,1262.78,1487.15,11.25,127.14,224.99,244.77,1037.66,9675.41,2719.6,685.88,1345.97,3470.32,2274.46
2023/05/17,834.19,2994.63,10126.54,8162.26,2040.47,2059.76,8492.68,6648.65,97.78,48316.47,593.08,2618.95,579.89,1702.33,924.76,449.47,3625.94,766.96,1589.0,77.8,2896.89,1249.85,1449.17,11.22,125.85,222.88,243.04,1044.02,9723.31,2710.79,685.03,1327.41,3433.51,2290.22
2023/05/16,816.75,2956.42,9980.8,7865.66,2006.65,2017.72,8493.3,6436.7,95.12,47713.71,584.46,2580.31,569.01,1671.61,901.74,439.89,3597.23,740.88,1550.38,77.48,2835.85,1226.89,1419.39,11.08,124.35,217.23,237.91,1028.8,9598.39,2633.33,673.78,1301.14,3367.39,2241.67
2023/05/15,814.53,2951.65,10044.9,7898.14,1974.51,2017.4,8376.49,6536.07,97.15,48053.86,592.55,2610.41,570.51,1672.77,908.2,445.04,3614.85,696.54,1493.55,76.84,2836.27,1224.79,1422.59,10.97,126.86,219.62,239.21,1021.19,9768.49,2656.15,676.32,1297.94,3396.49,2257.07
2023/05/12,822.43,2982.0,10202.08,7929.38,1984.28,2041.11,8410.25,6503.99,97.02,48462.84,606.25,2619.38,579.18,1681.13,919.85,444.45,3728.15,703.2,1539.95,77.34,2859.4,1233.8,1451.08,11.17,128.37,224.72,241.18,1020.22,9858.0,2678.88,691.57,1299.3,3458.63,2271.5
2023/05/11,824.54,2998.71,10283.03,8015.06,1953.17,2053.6,8520.7,6446.78,97.83,48121.44,610.46,2633.66,577.96,1695.78,930.46,447.99,3834.32,690.82,1557.12,78.08,2864.15,1228.2,1448.2,10.95,129.44,226.76,240.07,1043.73,9951.46,2715.44,696.26,1303.44,3470.76,2289.28
2023/05/10,829.74,3009.21,10406.7,8049.78,2017.59,2068.24,8562.58,6377.1,97.32,47891.94,602.25,2662.74,580.73,1688.28,924.14,445.65,3907.05,685.39,1630.35,77.51,2887.15,1231.99,1457.34,11.23,129.04,224.19,236.08,1053.5,9893.33,2685.55,698.18,1326.14,3460.73,2296.57
2023/05/09,835.85,3031.62,10438.78,8072.1,2041.84,2060.71,8748.84,6275.4,97.71,48191.52,608.15,2700.48,583.78,1701.97,928.28,448.37,3834.2,679.24,1692.92,77.87,2905.25,1241.04,1463.87,11.28,129.49,224.87,237.64,1064.54,9948.67,2692.24,704.43,1342.1,3459.33,2310.22
