종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
아로마소프트,2007.07.16~07.16,"8,200","7,000~7,500",837:1,교보증권,
바로비젼,2007.07.11~07.12,"8,900","7,000~8,500",209.6:1,우리투자증권,
에코프로,2007.07.09~07.10,"9,000","7,000~8,000",874.5:1,동양종합,
메모리앤테스팅,2007.07.03~07.05,"8,000","7,000~8,000",1134:1,동양증권,
컴투스,2007.06.27~06.28,"12,000","8,000~10,300",846.8:1,한국투자증권,
디지텍시스템스,2007.06.20~06.22,"21,000","18,500~22,500",128.61:1,교보증권,
삼성카드(유가),2007.06.18~06.21,"48,000","40,000~45,000",103:1,한국투자증권,
엔텔스,2007.06.05~06.08,"10,000","9,500~10,500",1078.2:1,한국투자증권,
풍강,2007.05.21~05.23,"3,700","3,600~4,100",826.64:1,서울증권,
케이프,2007.05.15~05.17,"18,000","14,500~16,500",591.2:1,미래에셋증권,
동국제약,2007.05.15~05.17,"14,000","11,800~14,400",545.73:1,삼성증권,
상신이디피,2007.05.11~05.15,"7,000","6,300~7,300",587.08:1,대한투자증권,
한라레벨,2007.05.09~05.11,"8,600","8,000~9,000",602.61:1,대우증권,
잘만테크,2007.05.08~05.10,"14,000","12,500~14,000",544.48:1,CJ투자증권,
에버테크노,2007.05.08~05.10,"5,200","4,500~5,500",456.95:1,미래에셋증권,
에프알텍,2007.05.07~05.09,"3,300","3,000~3,800",888:1,동양증권,
이엠텍,2007.04.18~04.20,"7,100","7,000~8,000",700.5:1,하나증권,
이트레이드증권,2007.02.06~02.08,"6,500","7,400~9,800",1095.93 : 1,한국투자증권,
오스템임플란트,2007.01.24~01.26,"15,000","13,800~16,400",233.80 : 1,한국투자증권,
나노캠텍,2007.01.16~01.18,"7,000","7,900~8,800",1113.83 : 1,한국투자증권,
네오팜,2007.01.16~01.18,"8,000","7,500~9,200",524.61 : 1,삼성증권,
비에이치,2007.01.15~01.17,"4,600","5,500~6,500",278.56 : 1,대우증권,
켐트로닉스,2007.01.03~01.05,"9,500","9,000~11,000",143.19 : 1,교보증권,
오스코텍,2007.01.03~01.05,"9,000","17,000~21,000",605.94 : 1,"대우증권, 신흥증권",
젯텍,2006.12.26~12.28,"7,000","6,500~8,000",402.02 : 1,미래에셋증권,
동아엘텍,2006.12.18~12.20,"6,000","5,500~6,500",746.55 : 1,교보증권,
아비스타(유가),2006.12.13~12.15,"11,100","10,000~12,000",389.19 : 1,대우증권,
신양엔지니어링,2006.12.12~12.14,"9,100","8,500~10,000",737.12 : 1,CJ투자증권,
디앤티,2006.12.11~12.13,"6,200","6,000~7,000",624.68 : 1,동양증권,
펜타마이크로,2006.12.05~12.07,"10,200","10,000~11,000",541.83 : 1,한화증권,
휴온스,2006.12.04~12.06,"9,300","8,000~9,500",1171.1 : 1,한국투자증권,
한국컴퓨터,2006.11.29~12.01,"23,500","20,000~25,000",708.09 : 1,교보증권,
파트론,2006.11.29~12.01,"8,300","7,500~8,500",1071.3 : 1,한국투자증권,
유니테스트,2006.11.22~11.24,"22,000","23,000~26,000",659.01 : 1,동양증권,
다사테크,2006.11.22~11.24,"12,000","12,000~16,400",1416.29  : 1,한국투자증권,
에스에이티,2006.11.15~11.17,"5,200","5,500~6,500",965.69:1,키움증권,
큐에스아이,2006.11.14~11.16,"6,800","7,500~8,500",882.1:1,한국투자증권,
크레듀,2006.11.06~11.08,"24,000","22,500~25,500",710.8:1,한국투자증권,
주연테크(유가),2006.10.31~11.02,"6,400","6,000~8,000",533.25:1,하나증권,
화신테크,2006.10.31~11.02,"2,700","2,500~3,000",661.87:1,대우증권,
성창에어텍,2006.10.25~10.27,"3,400","3,300~4,000",611.74:1,동양증권,
인천도시가스(유가),2006.10.24~10.26,"19,000","18,000~22,000",557.93:1,한양증권,
고려반도체시스템,2006.10.24~10.26,"5,500","6,050~7,150",409.69:1,한화증권,
