종목명,공모주일정,확정공모가,희망공모가,청약경쟁률,주간사,분석
하이스팩6호,2021.04.28~04.29,"2,000","2,000~2,000",7.63:1,하이투자증권,
SK아이이테크놀로지(유가),2021.04.28~04.29,"105,000","78,000~105,000",288.17:1,"미래에셋증권,한국투자증권,SK증권,삼성증권,NH투자증권",
쿠콘,2021.04.19~04.20,"45,000","31,000~40,000",1596.32:1,"하나금융투자,삼성증권",
해성티피씨,2021.04.12~04.13,"13,000","9,500~11,500",2053.27:1,한국투자증권,
이삭엔지니어링,2021.04.12~04.13,"11,500","9,500~11,500",2262.09:1,신한금융투자,
유진스팩6호,2021.03.30~03.31,"2,000","2,000~2,000",236.23:1,유진증권,
유안타스팩8호,2021.03.25~03.26,"2,000","2,000~2,000",84.91:1,유안타증권,
엔시스,2021.03.22~03.23,"19,000","13,000~16,500",2573.60:1,미래에셋증권,
자이언트스텝,2021.03.15~03.16,"11,000","9,000~11,000",2342:1,한국투자증권,
제노코,2021.03.15~03.16,"36,000","27,000~33,000",2095.45:1,DB금융투자,
라이프시맨틱스,2021.03.11~03.12,"12,500","9,000~12,500",1774.57:1,한국투자증권,
SK바이오사이언스(유가),2021.03.09~03.10,"65,000","49,000~65,000",335.36:1,"NH투자증권,한국투자증권,미래에셋증권,SK증권,삼성증권,하나금융투자",
바이오다인,2021.03.08~03.09,"30,000","22,500~28,700",48.36:1,대신증권,
디비금융스팩9호,2021.03.05~03.08,"2,000","2,000~2,000",8.56:1,DB금융투자,
네오이뮨텍,2021.03.04~03.05,"7,500","5,400~6,400",664.65:1,"하나금융투자,미래에셋대우",
프레스티지바이오로직스,2021.03.02~03.03,"12,400","8,700~12,400",126.06:1,"미래에셋증권,유안타증권",
싸이버원,2021.03.02~03.03,"9,500","7,600~8,300",1880.43:1,키움증권,
나노씨엠에스,2021.02.25~02.26,"20,000","14,500~18,500",1243.48:1,키움증권,
하나머스트스팩7호,2021.02.23~02.24,"2,000","2,000~2,000",237.46:1,하나금융투자,
IBKS스팩15호,2021.02.18~02.19,"2,000","2,000~2,000",101.73:1,IBK투자증권,
뷰노,2021.02.16~02.17,"21,000","15,000~19,500",1102.7:1,"미래에셋대우,삼성증권",
씨이랩,2021.02.15~02.16,"35,000","23,000~31,000",195.53:1,아이비케이투자증권,
유일에너테크,2021.02.15~02.16,"16,000","11,000~14,000",683.55:1,신영증권,
오로스테크놀로지,2021.02.15~02.16,"21,000","17,000~21,000",1033.82:1,키움증권,
피엔에이치테크,2021.02.03~02.04,"18,000","14,000~17,000",1528.76:1,한국투자증권,
하나금융스팩17호,2021.01.29~02.01,"2,000","2,000~2,000",168.68:1,하나금융투자,
아이퀘스트,2021.01.27~01.28,"11,000","9,200~10,600",2853.34:1,미래에셋대우,
프레스티지바이오파마(유가),2021.01.25~01.26,"32,000","25,000~32,000",237.13:1,"삼성증권,KB증권",
와이더플래닛,2021.01.25~01.26,"16,000","12,000~15,000",1357.98:1,한국투자증권,
레인보우로보틱스,2021.01.25~01.26,"10,000","7,000~9,000",1201.26:1,"미래에셋대우,대신증권",
신한스팩7호,2021.01.25~01.26,"2,000","2,000~2,000",7.45:1,신한금융투자,
솔루엠(유가),2021.01.21~01.22,"17,000","13,700~15,500",1147.76:1,"미래에셋대우,케이비증권,하나금융투자,신한금융투자,삼성증권",
핑거,2021.01.21~01.22,"16,000","13,000~15,000",939.39:1,대신증권,
씨앤투스성진,2021.01.19~01.20,"32,000","26,000~32,000",674.04:1,미래에셋대우,
모비릭스,2021.01.19~01.20,"14,000","10,500~14,000",1485.51:1,"한국투자증권,KB증권,신영증권",
선진뷰티사이언스,2021.01.18~01.19,"11,500","10,100~11,500",1987.74:1,"신한금융투자,삼성증권",
엔비티,2021.01.12~01.13,"19,000","13,200~17,600",4397.67:1,미래에셋대우,
한국스팩9호,2021.01.12~01.13,"2,000","2,000~2,000",46.54:1,한국투자증권,
석경에이티,2020.12.15~12.16,"10,000","8,000~10,000",1751.58:1,한국투자증권,
지놈앤컴퍼니,2020.12.14~12.15,"40,000","36,000~40,000",1175.10:1,한국투자증권,
프리시젼바이오,2020.12.14~12.15,"12,500","10,500~12,500",1557.29:1,한국투자증권,
대신밸런스스팩9호,2020.12.14~12.15,"2,000","2,000~2,000",5.31:1,대신증권,
엔에이치스팩18호,2020.12.11~12.14,"2,000","2,000~2,000",6.81:1,NH투자증권,
알체라,2020.12.10~12.11,"10,000","8,000~10,000",1322.58:1,"신영증권,NH투자증권",
에프앤가이드,2020.12.08~12.09,"7,000","5,200~6,500",1353.9:1,"신영증권,삼성증권",
에이치엠씨아이비스팩5호,2020.12.07~12.08,"2,000","2,000~2,000",0.64:1,현대차증권,
이에스알켄달스퀘어리츠(유가),2020.12.04~12.08,"5,000","5,000~5,000",3.59:1,"한국투자증권, 씨티증권, 모간스탠리",
티엘비,2020.12.03~12.04,"38,000","33,200~38,000",1551.19:1,DB금융투자,
인바이오,2020.12.02~12.03,"5,800","5,100~5,800",1414.15:1,한국투자증권,
엔젠바이오,2020.12.01~12.02,"14,000","10,500~14,000",1502.4:1,삼성증권,
퀀타매트릭스,2020.11.30~12.01,"25,500","19,700~25,500",167.87:1,미래에셋대우,
디비금융스팩8호,2020.11.30~12.01,"2,000","2,000~2,000",0.71:1,DB금융투자,
명신산업(유가),2020.11.27~11.30,"6,500","4,900~5,800",1372.94:1,"미래에셋대우,현대차증권,하나금융투자,케이비증권",
엔에프씨,2020.11.23~11.24,"13,400","10,200~13,400",643.85:1,삼성증권,
앱코,2020.11.23~11.24,"24,300","21,400~24,300",978.13:1,미래에셋대우,
포인트모바일,2020.11.23~11.24,"15,000","13,000~15,000",1842.97:1,하나금융투자,
클리노믹스,2020.11.23~11.24,"13,900","10,900~13,900",341.46:1,대신증권,
제일전기공업,2020.11.17~11.18,"17,000","15,000~17,000",1396.1:1,"하나금융투자,한화투자증권",
하나기술,2020.11.13~11.16,"35,000","31,000~35,000",1802.10:1,하나금융투자,
티앤엘,2020.11.12~11.13,"36,000","34,000~38,000",1109.19:1,한국투자증권,
에이플러스에셋어드바이저(유가),2020.11.10~11.11,"7,500","10,500~12,300",24.75:1,"NH투자증권,IBK투자증권",
네패스아크,2020.11.09~11.10,"26,500","23,400~26,500",830.21:1,미래에셋대우,
고바이오랩,2020.11.09~11.10,"15,000","18,000~23,000",566.54:1,"삼성증권,대신증권",
교촌에프앤비(유가),2020.11.03~11.04,"12,300","10,600~12,300",1318.29:1,미래에셋대우,
소룩스,2020.10.29~10.30,"10,000","8,000~10,000",1660.08:1,미래에셋대우,
위드텍,2020.10.20~10.21,"25,000","21,000~25,000",1185.51:1,하나금융투자,
센코,2020.10.20~10.21,"13,000","10,000~13,000",366.42:1,한국투자증권,
바이브컴퍼니,2020.10.19~10.20,"28,000","23,000~28,000",1266.22:1,"한국투자증권,신영증권",
미코바이오메드,2020.10.13~10.14,"15,000","12,000~15,000",41.74:1,KB증권,
피플바이오,2020.10.07~10.08,"20,000","25,000~30,000",51.08:1,키움증권,
하이브(구.빅히트)(유가),2020.10.05~10.06,"135,000","105,000~135,000",606.97:1,"NH투자증권,한국투자증권,미래에셋대우,키움증권",
넥스틴,2020.09.24~09.25,"75,400","61,500~75,400",13.92:1,케이비증권,
원방테크,2020.09.15~09.16,"54,300","43,000~54,300",348.77:1,미래에셋대우,
엔에이치스팩17호,2020.09.14~09.15,"2,000","2,000~2,000",0.59:1,NH투자증권,
비나텍,2020.09.14~09.15,"33,000","27,000~32,000",1386.85:1,대신증권,
박셀바이오,2020.09.10~09.11,"30,000","30,000~35,000",96.44:1,하나금융투자,
비비씨,2020.09.09~09.10,"30,700","27,100~30,700",464.19:1,미래에셋대우,
핌스,2020.09.09~09.10,"19,000","15,000~19,000",1161.84:1,DB금융투자,
교보스팩10호,2020.09.07~09.08,"2,000","2,000~2,000",0.17:1,교보증권,
압타머사이언스,2020.09.07~09.08,"25,000","20,000~25,000",1251.29:1,키움증권,
이오플로우,2020.09.03~09.04,"19,000","18,000~21,000",686.71:1,하나금융투자,
카카오게임즈,2020.09.01~09.02,"24,000","20,000~24,000",1524.8:1,"한국투자증권,삼성증권,KB증권",
피엔케이피부임상연구센타,2020.08.31~09.01,"18,300","16,100~18,300","1,727.11:1",미래에셋대우,
미래에셋대우스팩5호,2020.08.18~08.19,"2,000","2,000~2,000",5.78:1,미래에셋대우,
아이디피,2020.08.11~08.12,"9,800","8,800~9,800",1149.83:1,키움증권,
셀레믹스,2020.08.10~08.11,"20,000","16,100~20,000",1176.45:1,대신증권,
미투젠,2020.08.05~08.06,"27,000","21,000~27,000",1010.86:1,미래에셋대우,
코람코에너지플러스리츠(유가),2020.08.05~08.07,"5,000","5,000~5,000",1.54:1,"NH투자증권,대신증권,신영증권,이베스트투자증권,한국투자증권",
브랜드엑스코퍼레이션,2020.08.04~08.05,"13,000","12,400~15,300",8.54:1,"대신증권,삼성증권",
영림원소프트랩,2020.08.03~08.04,"11,500","9,500~11,500",2493.57:1,미래에셋대우,
한국파마,2020.07.29~07.30,"9,000","6,500~8,500",2036:1,"미래에셋대우,SK증권",
이루다,2020.07.27~07.28,"9,000","7,500~9,000",3039.55:1,미래에셋대우,
제이알글로벌리츠(유가),2020.07.22~07.24,"5,000","5,000~5,000",0.23:1,"KB증권,메리츠증권,대신증권",
이엔드디,2020.07.21~07.22,"14,400","12,350~14,400",808.62:1,아이비케이투자증권,
와이팜,2020.07.21~07.22,"11,000","9,700~11,000",712.13:1,NH투자증권,
에이치엠씨아이비스팩4호,2020.07.20~07.21,"2,000","2,000~2,000",0.68:1,현대차증권,
엠투아이,2020.07.16~07.17,"15,600","15,600~18,900",176.83:1,미래에셋대우,
더네이쳐홀딩스,2020.07.15~07.16,"46,000","45,000~50,000",151.9:1,한국투자증권,
하나금융스팩16호,2020.07.14~07.15,"2,000","2,000~2,000",5.51:1,하나금융투자,
제놀루션,2020.07.14~07.15,"14,000","12,000~14,000",894.67:1,신영증권,
솔트룩스,2020.07.13~07.14,"25,000","24,000~30,000",953.53:1,한국투자증권,
티에스아이,2020.07.13~07.14,"10,000","7,500~9,500",1621.1:1,한국투자증권,
미래에셋맵스리츠1호(유가),2020.07.13~07.15,"5,000","5,000~5,000",9:1,"미래에셋대우,신한금융투자,SK증권",
에이프로,2020.07.08~07.09,"21,600","19,000~21,600",1582.52:1,NH투자증권,
IBKS스팩13호,2020.07.06~07.07,"2,000","2,000~2,000",11.01:1,아이비케이투자증권,
이지스레지던스리츠(유가),2020.07.06~07.08,"5,000","5,000~5,000",2.6:1,"삼성증권,디비금융투자,유안타증권",
소마젠,2020.06.29~06.30,"11,000","11,000~15,000",4.42:1,신한금융투자,
위더스제약,2020.06.25~06.26,"15,900","13,900~15,900",1082.03:1,"NH투자증권,삼성증권",
신도기연,2020.06.25~06.26,"16,000","14,000~16,000",955.01:1,한국투자증권,
SK바이오팜(유가),2020.06.23~06.24,"49,000","36,000~49,000",323.03:1,"NH투자증권,한국투자증권,SK증권,하나금융투자",
마크로밀엠브레인,2020.06.18~06.19,"6,800","5,200~6,400",888.01:1,NH투자증권,
이지스밸류플러스리츠(유가),2020.06.16~06.17,"5,000","5,000~5,000",26.86:1,"삼성증권,한화투자증권,신영증권",
젠큐릭스,2020.06.15~06.16,"22,700","22,700~26,100",12.35:1,미래에셋대우,
IBKS스팩14호,2020.06.11~06.12,"2,000","2,000~2,000",2.06:1,아이비케이투자증권,
엘이티,2020.06.11~06.12,"7,800","6,400~7,800",1552.16:1,미래에셋대우,
에스씨엠생명과학,2020.06.08~06.09,"17,000","14,000~17,000",814.91:1,한국투자증권,
엔에이치스팩16호,2020.06.08~06.09,"2,000","2,000~2,000",0.78:1,NH투자증권,
드림씨아이에스,2020.05.12~05.13,"14,900","13,000~14,900",669.22:1,NH투자증권,
이베스트스팩5호,2020.05.11~05.12,"2,000","2,000~2,000",0.21:1,이베스트투자증권,
케이프이에스스팩4호,2020.03.12~03.13,"2,000","2,000~2,000",8.71:1,케이프증권,
엔피디,2020.03.03~03.04,"5,400","5,400~6,300",32.65:1,유안타증권,
플레이디,2020.03.02~03.03,"8,500","6,800~7,700",864.80:1,KB증권,
에스케이스팩6호,2020.03.02~03.03,"2,000","2,000~2,000",0.36:1,SK증권,
서울바이오시스,2020.02.26~02.27,"7,500","6,500~7,500",942.70:1,KB증권,
제이앤티씨,2020.02.24~02.25,"11,000","8,500~10,500",3.48:1,"신한금융투자,유진투자증권",
켄코아에어로스페이스,2020.02.20~02.21,"10,000","13,000~15,000",256.68:1,NH투자증권,
레몬,2020.02.19~02.20,"7,200","6,200~7,200",800.07:1,"미래에셋대우,현대차증권",
서남,2020.02.10~02.11,"3,100","2,700~3,100",881.6:1,한국투자증권,
신영스팩6호,2020.02.03~02.04,"2,000","2,000~2,000",2.08:1,신영증권,
위세아이텍,2020.01.29~01.30,"12,000","10,000~11,200",1076.62:1,교보증권,
하나금융스팩15호,2020.01.16~01.17,"2,000","2,000~2,000",6.92:1,하나금융투자,
케이비스팩20호,2020.01.16~01.17,"2,000","2,000~2,000",1.19:1,KB증권,
천랩,2019.12.17~12.18,"40,000","63,000~78,000",638.63:1,한국투자증권,
피피아이,2019.12.16~12.17,"7,000","6,000~7,000",1147.7:1,미래에셋대우,
한화플러스스팩1호,2019.12.16~12.17,"2,000","2,000~2,000",9.00:1,한화투자증권,
브릿지바이오테라퓨틱스,2019.12.12~12.13,"60,000","70,000~80,000",33.52:1,"대신증권,KB증권",
엔에이치스팩15호,2019.12.12~12.13,"2,000","2,000~2,000",1.43:1,NH투자증권,
메탈라이프,2019.12.12~12.13,"13,000","10,500~13,000",1397.97:1,한국투자증권,
하이스팩5호,2019.12.11~12.12,"2,000","2,000~2,000",0.37:1,하이투자증권,
메드팩토,2019.12.10~12.11,"40,000","34,000~43,000",18.84:1,삼성증권,
신테카바이오,2019.12.09~12.10,"12,000","15,000~19,000",123.20:1,케이비증권,
대신밸런스스팩8호,2019.12.09~12.10,"2,000","2,000~2,000",0.67:1,대신증권,
유안타스팩6호,2019.12.09~12.10,"2,000","2,000~2,000",0.37:1,유안타증권,
제이엘케이인스펙션,2019.12.02~12.03,"9,000","11,000~14,500",8.49:1,한국투자증권,
IBKS스팩12호,2019.11.28~11.29,"2,000","2,000~2,000",76.16:1,아이비케이투자증권,
태웅로직스,2019.11.26~11.27,"4,500","3,700~4,500",618.52:1,"아이비케이투자증권,BNK투자증권",
에스케이스팩5호,2019.11.25~11.26,"2,000","2,000~2,000",0.37:1,SK증권,
리메드,2019.11.25~11.26,"13,000","14,500~16,500",92.69:1,한국투자증권,
코리아센터,2019.11.21~11.22,"18,000","24,000~27,200",4.13:1,"NH투자증권,신한금융투자,삼성증권",
IBKS스팩11호,2019.11.21~11.22,"2,000","2,000~2,000",6.97:1,아이비케이투자증권,
유안타스팩5호,2019.11.18~11.19,"2,000","2,000~2,000",0.2:1,유안타증권,
엔에이치프라임리츠(유가),2019.11.18~11.20,"5,000","5,000~5,000",317.62:1,"NH투자증권,키움증권,하나금융투자,한국투자증권",
노터스,2019.11.14~11.15,"20,000","17,000~20,000",22.31:1,대신증권,
센트랄모텍(유가),2019.11.13~11.14,"6,000","5,000~6,000",580.5:1,"한국투자증권,BNK투자증권",
티움바이오,2019.11.11~11.12,"12,000","16,000~20,000",5.30:1,"키움증권,삼성증권",
코리아에셋투자증권,2019.11.11~11.12,"10,000","8,000~10,000",231.78,신영증권,
씨에스베어링,2019.11.11~11.12,"8,400","7,400~8,400",699.67:1,한국투자증권,
우양,2019.11.11~11.12,"4,200","3,800~4,200",1037.31,미래에셋대우,
에스제이그룹,2019.11.07~11.08,"38,600","32,000~38,600",512.93:1,"NH투자증권,아이비케이투자증권",
현대에너지솔루션(유가),2019.11.07~11.08,"18,000","24,000~28,000",126.68:1,"한국투자증권,하나금융투자,KB증권,하이투자증권,유안타증권",
제테마,2019.11.06~11.07,"21,000","36,000~48,000",590.02:1,"한국투자증권,DB금융투자",
한화시스템(유가),2019.11.04~11.05,"12,250","12,250~14,000",16.84:1,"NH투자증권,한국투자증권,한화투자증권,SK증권,대신증권,신영증권",
라파스,2019.11.01~11.04,"20,000","24,000~29,000",813.16:1,DB금융투자,
아이티엠반도체,2019.10.30~10.31,"26,000","23,000~26,000",321.09:1,케이비증권,
자이에스앤디(유가),2019.10.28~10.29,"5,200","4,200~5,200",665.41:1,한국투자증권,
미래에셋대우스팩4호,2019.10.28~10.29,"2,000","2,000~2,000",30.10:1,미래에셋대우,
하나금융스팩14호,2019.10.23~10.24,"2,000","2,000~2,000",80.74:1,하나금융투자,
티라유텍,2019.10.23~10.24,"12,050","10,550~12,050",1164.16:1,미래에셋대우,
미디어젠,2019.10.21~10.22,"10,600","9,400~10,600",573.16:1,교보증권,
신한스팩6호,2019.10.21~10.22,"2,000","2,000~2,000",83.89:1,신한금융투자,
캐리소프트,2019.10.21~10.22,"9,000","7,000~9,000",1067.00:1,미래에셋대우,
지누스(유가),2019.10.21~10.22,"70,000","80,000~90,000",0.63:1,"NH투자증권,신한금융투자,대신증권,하나금융투자,삼성증권",
케이엔제이,2019.10.16~10.17,"11,000","8,400~11,000",1104.68:1,미래에셋대우,
교보스팩9호,2019.10.14~10.15,"2,000","2,000~2,000",134.98:1,교보증권,
엔바이오니아,2019.10.14~10.15,"8,200","8,200~10,300",910.32:1,미래에셋대우,
팜스빌,2019.10.10~10.11,"14,000","11,000~14,000",674.04:1,대신증권,
라온피플,2019.10.10~10.11,"14,000","14,000~17,000",2.07:1,미래에셋대우,
롯데리츠(유가),2019.10.08~10.11,"5,000","4,750~5,000",63.28:1,"한국투자증권,KB증권,삼성증권,하나금융투자",
아톤,2019.10.07~10.08,"43,000","30,000~43,000",653.96:1,"NH투자증권,KB증권",
녹십자웰빙,2019.10.01~10.02,"11,300","9,400~11,300",657.66:1,하나금융투자,
대신밸런스스팩7호,2019.09.30~10.01,"2,000","2,000~2,000",39.52:1,대신증권,
유진스팩5호,2019.09.23~09.24,"2,000","2,000~2,000",268.73:1,유진증권,
케이비스팩19호,2019.09.19~09.20,"2,000","2,000~2,000",177.51:1,KB증권,
올리패스,2019.09.05~09.06,"20,000","37,000~45,000",419.4:1,"미래에셋대우,키움증권",
라닉스,2019.09.05~09.06,"6,000","8,000~10,500",770.88:1,한국투자증권,
하나금융스팩13호,2019.09.05~09.06,"2,000","2,000~2,000",254.81:1,하나금융투자,
한독크린텍,2019.08.27~08.28,"15,100","13,300~15,100",728.28:1,한국투자증권,
상상인이안스팩2호,2019.08.20~08.21,"2,000","2,000~2,000",265:1,상상인증권,
네오크레마,2019.08.12~08.13,"8,000","10,000~11,500",1.59:1,키움증권,
미래에셋대우스팩3호,2019.08.07~08.08,"2,000","2,000~2,000",508:1,미래에셋대우,
마니커에프앤지,2019.08.07~08.08,"4,000","3,400~4,000",1216.48:1,유진투자증권,
나노브릭,2019.08.07~08.08,"16,000","18,000~22,000",2.58:1,KB증권,
에스피시스템스,2019.08.05~08.06,"4,900","4,300~4,900",786.16:1,한국투자증권,
레이,2019.07.29~07.30,"20,000","17,000~20,000",779.56:1,"한국투자증권,DB금융투자",
코윈테크,2019.07.25~07.26,"34,500","28,400~34,500",0.48:1,미래에셋대우,
그린플러스,2019.07.25~07.26,"10,000","8,500~10,000",700.96:1,한국투자증권,
슈프리마아이디,2019.07.23~07.24,"27,000","23,000~27,000",707.26:1,한국투자증권,
덕산테코피아,2019.07.23~07.24,"19,000","17,000~19,000",1.96:1,NH투자증권,
한국바이오젠,2019.07.23~07.24,"6,000","4,700~5,700",1019.62:1,미래에셋대우,
세경하이테크,2019.07.22~07.23,"35,000","46,000~52,000",1.20:1,키움증권,
윌링스,2019.07.16~07.17,"12,500","10,000~12,500",532.83:1,신영증권,
대모(구.대모엔지니어링),2019.07.15~07.16,"5,200","4,800~5,200",1268.53:1,신한금융투자,
에이스토리,2019.07.09~07.10,"14,300","11,600~14,300",131.51:1,NH투자증권,
플리토,2019.07.08~07.09,"26,000","19,000~23,000",710.71:1,한국투자증권,
세틀뱅크,2019.07.04~07.05,"55,000","44,000~49,000",309.6:1,"한국투자증권,신한금융투자",
이베스트이안스팩1호,2019.07.02~07.03,"2,000","2,000~2,000",1431.05:1,이베스트투자증권㈜,
아이스크림에듀,2019.07.01~07.02,"15,900","15,900~18,000",5.70:1,"대신증권,삼성증권",
펌텍코리아,2019.06.25~06.26,"190,000","240,000~270,000",0.51:1,한국투자증권,
에이에프더블류,2019.06.19~06.20,"22,500","19,500~22,500",552.22:1,NH투자증권,
신영스팩5호,2019.06.13~06.14,"2,000","2,000~2,000",596.8:1,신영증권,
케이비스팩18호,2019.06.13~06.14,"2,000","2,000~2,000",279.11:1,KB증권,
신한스팩5호,2019.06.10~06.11,"2,000","2,000~2,000",654:1,신한금융투자,
압타바이오,2019.06.03~06.04,"30,000","21,000~25,000",663.03:1,"삼성증권,미래에셋대우",
까스텔바쟉,2019.05.30~05.31,"12,000","16,000~19,000",3.4:1,NH투자증권㈜,
마이크로디지탈,2019.05.27~05.28,"23,000","20,000~23,000",1116.34:1,하나금융투자,
디비금융스팩7호,2019.05.24~05.27,"2,000","2,000~2,000",269:1,DB금융투자,
유진스팩4호,2019.05.22~05.23,"2,000","2,000~2,000",300.40:1,유진투자증권,
수젠텍,2019.05.15~05.16,"12,000","12,000~14,000",1.48:1,한국투자증권,
컴퍼니케이파트너스,2019.05.13~05.14,"4,500","3,600~4,000",850.46:1,NH투자증권,
엔에이치스팩14호,2019.04.29~04.30,"2,000","2,000~2,000",51.89:1,NH투자증권,
에스앤케이,2019.04.23~04.24,"40,400","30,800~40,400",185.17:1,"NH투자증권,미래에셋대우",
한화에스비아이스팩,2019.04.22~04.23,"2,000","2,000~2,000",6.66:1,한화투자증권,
하이스팩4호,2019.04.17~04.18,"2,000","2,000~2,000",1.89:1,하이투자증권,
아모그린텍,2019.03.19~03.20,"9,900","8,800~9,900",22.13:1,삼성증권,
현대오토에버(유가),2019.03.19~03.20,"48,000","40,000~44,000",345.24:1,"NH투자증권,현대차투자증권,미래에셋대우",
지노믹트리,2019.03.18~03.19,"27,000","17,000~25,000",13.10:1,키움증권,
케이비스팩17호,2019.03.18~03.19,"2,000","2,000~2,000",1.49:1,KB증권,
이지케어텍,2019.03.12~03.13,"12,300","10,100~12,300",1272.11:1,미래에셋대우,
유안타스팩4호,2019.03.11~03.12,"2,000","2,000~2,000",1.81:1,유안타증권,
미래에셋벤처투자,2019.03.07~03.08,"4,500","3,700~4,500",1021.77:1,"KB증권,대신증권",
드림텍(유가),2019.03.04~03.05,"13,000","11,000~13,000",562.7:1,NH투자증권,
에코프로비엠,2019.02.21~02.22,"48,000","37,500~42,900",273.78:1,"대신증권,SK증권,유안타증권,하나금융투자",
셀리드,2019.02.11~02.12,"33,000","25,000~31,000",818.83:1,삼성증권,
천보,2019.01.28~01.29,"40,000","35,000~40,000",426.09:1,하나금융투자,
이노테라피,2019.01.23~01.24,"18,000","20,200~25,200",463.37:1,대신증권,
노랑풍선,2019.01.21~01.22,"20,000","15,500~19,000",1025.2:1,"한국투자증권,KB증권",
웹케시,2019.01.16~01.17,"26,000","24,000~26,000",947:13.1,"하나금융투자,BNK투자증권",
에어부산(유가),2018.12.18~12.19,"3,600","3,600~4,000",36.5:1,"NH투자증권,미래에셋대우,BNK투자증권",
비피도,2018.12.17~12.18,"18,000","22,100~28,700",159.97:1,한국투자증권,
키움스팩5호,2018.12.17~12.18,"2,000","2,000~2,000",2.04:1,키움증권,
엔에이치스팩13호,2018.12.14~12.17,"2,000","2,000~2,000",39.57:1,NH투자증권,
유틸렉스,2018.12.13~12.14,"50,000","38,000~50,000",322.96:1,NH투자증권,
미래에셋대우스팩2호,2018.12.12~12.13,"2,000","2,000~2,000",67.95:1,미래에셋대우,
디케이티,2018.12.12~12.13,"7,400","6,000~7,400",780.32:1,NH투자증권,
위지윅스튜디오,2018.12.12~12.13,"11,000","9,000~13,000",6.84:1,"삼성증권,NH투자증권",
신영스팩4호,2018.12.11~12.12,"2,000","2,000~2,000",2.09:1,신영증권,
에이비엘바이오,2018.12.11~12.12,"15,000","13,000~17,000",0.78:1,한국투자증권,
대신밸런스스팩6호,2018.12.10~12.11,"2,000","2,000~2,000",4.37:1,대신증권,
한국스팩8호,2018.12.10~12.11,"2,000","2,000~2,000",22.02:1,한국투자증권,
삼성머스트스팩3호,2018.12.10~12.11,"2,000","2,000~2,000",4.16:1,"삼성증권,신한금융투자",
머큐리,2018.12.05~12.06,"6,100","5,200~6,100",930.39:1,미래에셋대우,
전진바이오팜,2018.12.04~12.05,"10,000","15,000~17,000",24.80:1,미래에셋대우,
이노메트리,2018.12.03~12.04,"26,000","21,000~25,000",791.16:1,유진투자증권,
뉴트리,2018.12.03~12.04,"14,500","14,500~17,000",0.19:1,미래에셋대우,
골든브릿지이안스팩5호,2018.11.28~11.29,"2,000","2,000~2,000",0.57:1,골든브릿지투자증권,
대유에이피,2018.11.27~11.28,"3,000","2,600~3,300",11.12:1,신영증권,
에스케이에이씨피씨스팩4호,2018.11.27~11.28,"2,000","2,000~2,000",2.65:1,SK증권,
교보스팩8호,2018.11.26~11.27,"2,000","2,000~2,000",48.97:1,교보증권,
윙입푸드,2018.11.21~11.22,"2,000","2,000~3,000",0.71:1,유진투자증권,
하나머스트스팩6호,2018.11.21~11.22,"2,000","2,000~2,000",69.81:1,하나금융투자,
베스파,2018.11.21~11.22,"35,000","44,800~59,700",3.30:1,"미래에셋대우,교보증권",
에코캡,2018.11.19~11.20,"4,200","4,200~5,200",0.35:1,IBK투자증권,
엠아이텍,2018.11.19~11.20,"4,500","3,900~4,500",883.39:1,하나금융투자,
네오펙트,2018.11.19~11.20,"11,000","10,000~12,500",400.8:1,"한국투자증권,삼성증권",
티로보틱스,2018.11.19~11.20,"16,000","16,000~18,000",177.86:1,키움증권,
남화산업,2018.11.15~11.16,"3,700","3,100~3,700",858.4:1,대신증권,
티앤알바이오팹,2018.11.15~11.16,"18,000","18,000~23,000",500.35:1,키움증권,
아시아나IDT(유가),2018.11.14~11.15,"15,000","19,300~24,100",1.21:1,KB증권,
아주IB투자,2018.11.13~11.14,"1,500","2,000~2,400",63.76:1,"미래에셋대우,대신증권",
싸이토젠,2018.11.13~11.14,"17,000","13,000~17,000",705.49:1,키움증권,
디알젬,2018.11.12~11.13,"6,500","5,000~7,000",832.96:1,한국투자증권,
파멥신,2018.11.12~11.13,"60,000","43,000~55,000",322.78:1,"KB증권,삼성증권",
디자인,2018.11.07~11.08,"10,100","9,000~10,100",665.04:1,대신증권,
디케이앤디,2018.11.07~11.08,"6,000","5,800~6,600",975.69:1,키움증권,
노바렉스,2018.11.05~11.06,"19,000","19,000~24,000",631.42:1,NH투자증권,
셀리버리,2018.10.29~10.30,"25,000","20,000~25,000",808.45:1,DB금융투자,
대보마그네틱,2018.10.25~10.26,"31,000","22,500~25,500",837.58:1,한국투자증권,
엘앤씨바이오,2018.10.23~10.24,"24,000","18,000~20,000",985.59:1,"한국투자증권,DB금융투자",
노바텍,2018.10.23~10.24,"10,000","12,500~16,500",326.67:1,하나금융투자,
디비금융스팩6호,2018.10.22~10.23,"2,000","2,000~2,000",42.15:1,DB금융투자,
로보티즈,2018.10.17~10.18,"14,000","9,200~11,300",1043.92:1,"미래에셋대우,KTB투자증권",
옵티팜,2018.10.16~10.17,"10,000","10,000~12,000",463.49:1,NH투자증권,
에스퓨얼셀,2018.10.01~10.02,"16,500","10,600~14,000",857.78:1,"한국투자증권,유진투자증권",
푸드나무,2018.09.18~09.19,"24,000","18,700~22,700",914.05:1,"미래에셋대우,신한금융투자",
크리스에프앤씨,2018.09.17~09.18,"30,000","34,000~38,200",0.53:1,"KB증권,KTB투자증권",
